circuit,q,d,e2e_latency,method,N,final_cache_size,final_hitrate
QFT-Like,23,3,21.033750500006136,PR,10,0,0.0
QFT-Like,23,3,18.2862375000841,Full,10,0,0.0
QFT-Like,23,4,19.74242519994732,FS+Pre+ttl+SE+ema,10,1,1.0
QFT-Like,23,4,19.808361499919556,FS,10,1,0.9
QFT-Like,23,4,26.400443099963013,PR,10,0,0.0
QFT-Like,23,4,22.662630500097293,Full,10,0,0.0
QAOA-3reg,3,3,0.01619949989253655,FS+Pre+ttl+SE+ema,10,1,1.0
QAOA-3reg,3,3,0.03906450001522899,FS,10,1,0.9
QAOA-3reg,3,3,0.05069940001703799,PR,10,1,0.9
QAOA-3reg,3,3,0.2504285999457352,Full,10,0,0.0
QAOA-3reg,3,4,0.017510599980596453,FS+Pre+ttl+SE+ema,10,1,1.0
QAOA-3reg,3,4,0.04428939998615533,FS,10,1,0.9
QAOA-3reg,3,4,0.055209900019690394,PR,10,1,0.9
QAOA-3reg,3,4,0.32847660017432645,Full,10,0,0.0
QAOA-3reg,11,3,0.05182070017326623,FS+Pre+ttl+SE+ema,10,1,1.0
QAOA-3reg,11,3,0.0894675999879837,FS,10,1,0.9
QAOA-3reg,11,3,0.12451090000104159,PR,10,1,0.9
QAOA-3reg,11,3,0.3592160999542102,Full,10,0,0.0
QAOA-3reg,11,4,0.06227110011968762,FS+Pre+ttl+SE+ema,10,1,1.0
QAOA-3reg,11,4,0.20098340004915372,FS,10,1,0.9
QAOA-3reg,11,4,0.14340840006479993,PR,10,1,0.9
QAOA-3reg,11,4,0.41770329972496256,Full,10,0,0.0
QAOA-3reg,17,3,0.14406970009440556,FS+Pre+ttl+SE+ema,10,1,1.0
QAOA-3reg,17,3,0.2277613001060672,FS,10,1,0.9
QAOA-3reg,17,3,0.29027030011639,PR,10,1,0.9
QAOA-3reg,17,3,0.9008822997566313,Full,10,0,0.0
QAOA-3reg,17,4,0.1662450999720022,FS+Pre+ttl+SE+ema,10,1,1.0
QAOA-3reg,17,4,0.27264709991868585,FS,10,1,0.9
QAOA-3reg,17,4,0.5029050998855382,PR,10,1,0.9
QAOA-3reg,17,4,1.0421140000107698,Full,10,0,0.0
QAOA-3reg,23,3,4.208412500156555,FS+Pre+ttl+SE+ema,10,1,1.0
QAOA-3reg,23,3,4.369458899949677,FS,10,1,0.9
QAOA-3reg,23,3,4.663630900147837,PR,10,1,0.9
QAOA-3reg,23,3,5.044425200147089,Full,10,0,0.0
