Circuit,Qubits,FS+Pre+ttl+SE+ema,FS,PR,Full
GHZ-Chain,3,0.01366899997810825,0.0334955999278463,0.04206740000518035,0.23279635005746963
GHZ-Chain,11,0.01757230007206085,0.03890405001584435,0.07280289998743675,0.24898859989480115
GHZ-Chain,17,0.041837900003883946,0.09326465005869969,0.11156225003651335,0.5101025000039954
GHZ-Chain,23,0.8031722000741865,0.9220599000400398,1.130451599980006,1.3054128499061335
LinearEnt,3,0.01301355008035895,0.0406935999344568,0.0461967500741593,0.2586608501442242
LinearEnt,11,0.03187545010587195,0.06639935009297909,0.08688660000916565,0.3418348999111913
LinearEnt,17,0.09857715002726761,0.1715125498885754,0.2551041000406258,0.9655227499897591
LinearEnt,23,2.3995675000187475,2.569749500049511,2.5481998499599285,3.3376594499568455
QAOA-3reg,3,0.01685504993656645,0.0416769500006921,0.052954650018364094,0.2894526000600308
QAOA-3reg,11,0.0570459001464769,0.1452255000185687,0.1339596500329207,0.3884596998395864
QAOA-3reg,17,0.15515740003320386,0.25020420001237653,0.3965877000009641,0.9714981498837005
QAOA-3reg,23,4.969161100074416,5.019521599955624,5.263236000057077,5.882914850022644
QFT-Like,3,0.0150250500300899,0.04219360006391065,0.30619704999844544,0.25084869994316245
QFT-Like,11,0.05641494999872515,0.1180532499856781,1.3453925500507466,0.7119682500197086
QFT-Like,17,0.2865649500163272,0.45136904998798855,3.262964349996764,1.7659790499310475
QFT-Like,23,17.349831899948185,17.74196114999359,23.717096799984574,20.474434000090696
QSIM-XXZ,3,0.016481000027852098,0.041308549931272795,0.0554362999973818,0.2652114001393784
QSIM-XXZ,11,0.05353375000413505,0.0909036499797366,0.129119349992834,0.3805496000859421
QSIM-XXZ,17,0.1151758000196423,0.20011549993068906,0.37344714996288525,0.8982247499807272
QSIM-XXZ,23,1.4120618000160903,1.6540682498598471,1.6537709999538492,2.343141299992567
RCA,3,0.01257804996566845,0.03718559996923425,0.2577857500291429,0.22315999999409541
RCA,11,0.022109949961304602,0.0490318999800365,0.35901025001658127,0.2581083499244414
RCA,17,0.06505390006350349,0.1158211500151082,0.9023641000094358,0.5869349499989767
RCA,23,2.0489373499294743,2.162160949985264,3.150783849938307,2.803189599799225
VQE-Full,3,0.0137056000239681,0.040312399883987354,0.2946531999623403,0.26762540009804064
VQE-Full,11,0.0296849500446114,0.058483249973505694,0.40896504998090677,0.27713990001939237
VQE-Full,17,0.0937367500737309,0.2437574000214226,1.020619149931008,0.7834543000208214
VQE-Full,23,3.168661149975378,3.2457504500926007,4.422363050020067,3.8359625999000855
