size,method,peak_rss_mb,ru_maxrss_mb,peak_tracemalloc_mb,ok,err
50,TransCache,189.00390625,,20.919421195983887,True,
50,FS,189.76953125,,21.29030132293701,True,
50,PR,241.67578125,,46.39407539367676,True,
100,TransCache,195.07421875,,21.714447021484375,True,
100,FS,192.80859375,,21.933984756469727,True,
100,PR,242.87109375,,50.29597091674805,True,
