method,transT1,transT2,transT3,transT4,transT5
FullComp,1.1129579000,0.1146938000,0.1497025000,0.1084501001,0.1149981000
Braket,0.5766647001,0.0010533000,0.0009898000,0.0009511000,0.0013843999
CCache,0.3246951001,0.0000011000,0.0000006000,0.0000011000,0.0000010000
TransCache,0.0000008000,0.0000008000,0.0000006000,0.0000013000,0.0000010000
