circuit_tag,total_base,total_tcache,speedup_total,base_03,tc_02,tc_03,tc_07,tc_sum_020307,speedup_compile
GHZ-Chain\_all\_QD,12.727,7.358,1.73,8.876,0.067,1.869,1.458,3.394,2.62
LinearEnt\_all\_QD,54.886,40.922,1.34,26.183,0.459,5.405,5.609,11.473,2.28
QFT-Like\_all\_QD,342.168,221.148,1.55,168.260,1.985,33.610,5.723,41.318,4.07
RCA\_all\_QD,42.694,29.217,1.46,19.726,0.291,4.074,1.097,5.463,3.61
QSIM-XXZ\_all\_QD,62.640,30.654,2.04,44.184,1.048,8.038,3.199,12.285,3.60
