method,transT1,transT2,transT3,transT4,transT5
FullComp,1.0357153000,0.0285880001,0.0279970000,0.0750778001,0.0270256000
Braket,0.3382470000,0.0005529000,0.0002250000,0.0001678000,0.0001629000
CCache,0.4984423000,0.0000018000,0.0000020000,0.0000008000,0.0000020000
TransCache,0.0000004000,0.0000035999,0.0000007000,0.0000017000,0.0000006000
