method,transT1,transT2,transT3,transT4,transT5
FullComp,0.9243168000,0.0241832001,0.0222190000,0.0242668000,0.0234198001
Braket,0.4546136000,0.0291711000,0.0232021001,0.0265730000,0.0221168000
CCache,0.4014359000,0.0000014000,0.0000011000,0.0000013000,0.0000009000
TransCache,0.0000003000,0.0000023000,0.0000005000,0.0000006000,0.0000021000
