step,duration_sec,band
02a_tls_auth,2.462698,client/local
02b_backend_query,0.223028,client/local
03_transpile,1.225420,client/local
04_upload_to_cloud,0.415579,client/local
05_to_09_queue,1.209673,server/utc
server_run,34.902945,server/utc
downlink_return,-0.784001,server/utc
