method,transT1,transT2,transT3,transT4,transT5
FullComp,1.7869366999,0.5755330999,0.6198410001,0.5773670003,0.5682404004
Braket,0.9358639000,0.0007396000,0.0007392000,0.0007976000,0.0007476998
CCache,1.0666504004,0.0000009001,0.0000009998,0.0000005998,0.0000007004
TransCache,0.0000005001,0.0000005001,0.0000005001,0.0000005998,0.0000005001
