size,round,method,e2e_latency,final_cache_size,final_hitrate
200,4,FS+Pre,3.953155799303204,67,0.685
200,4,FS,4.977188500575721,67,0.665
200,4,PR,9.315688601695001,37,0.285
200,5,FS+Pre+ttl+SE+ema,4.739550898317248,62,0.615
200,5,FS+Pre+ttl+SE,4.641698902938515,62,0.615
200,5,FS+Pre+ttl,4.512938297819346,74,0.645
200,5,FS+Pre,4.528592999558896,74,0.645
200,5,FS,5.2603170978836715,74,0.63
200,5,PR,7.679793000686914,47,0.405
300,1,FS+Pre+ttl+SE+ema,6.807451700326055,71,0.6833333333333333
300,1,FS+Pre+ttl+SE,5.8364515993744135,71,0.6833333333333333
300,1,FS+Pre+ttl,5.4329260010272264,90,0.7133333333333334
300,1,FS+Pre,5.526320700533688,90,0.7133333333333334
300,1,FS,6.161599301733077,90,0.7
300,1,PR,13.454173901584,46,0.48
300,2,FS+Pre+ttl+SE+ema,6.358560098800808,63,0.71
300,2,FS+Pre+ttl+SE,6.9420221000909805,63,0.71
300,2,FS+Pre+ttl,5.818771898280829,83,0.7366666666666667
300,2,FS+Pre,5.729919899720699,83,0.7366666666666667
300,2,FS,6.050043500494212,83,0.7233333333333334
300,2,PR,13.65776360500604,45,0.33666666666666667
300,3,FS+Pre+ttl+SE+ema,5.75909540290013,68,0.6933333333333334
300,3,FS+Pre+ttl+SE,6.323299101553857,68,0.6933333333333334
300,3,FS+Pre+ttl,4.8718139990232885,82,0.74
300,3,FS+Pre,5.2588050020858645,82,0.74
300,3,FS,5.734714400488883,82,0.7266666666666667
300,3,PR,13.767594201024622,48,0.48333333333333334
300,4,FS+Pre+ttl+SE+ema,8.537592504639179,81,0.6466666666666666
300,4,FS+Pre+ttl+SE,6.863149403594434,81,0.6466666666666666
300,4,FS+Pre+ttl,7.2889149999246,93,0.6833333333333333
300,4,FS+Pre,6.196970803663135,97,0.6866666666666666
300,4,FS,7.422771900426596,97,0.6766666666666666
300,4,PR,14.391299398615956,57,0.41333333333333333
300,5,FS+Pre+ttl+SE+ema,6.071526300162077,65,0.7033333333333334
300,5,FS+Pre+ttl+SE,5.514173900242895,65,0.7033333333333334
300,5,FS+Pre+ttl,4.995098898652941,83,0.7366666666666667
300,5,FS+Pre,5.5597387994639575,83,0.7366666666666667
300,5,FS,5.31786649627611,83,0.7233333333333334
300,5,PR,13.953560099937022,43,0.31333333333333335
350,1,FS+Pre+ttl+SE+ema,6.9635115982964635,77,0.6942857142857143
350,1,FS+Pre+ttl+SE,6.845021700952202,77,0.6942857142857143
350,1,FS+Pre+ttl,6.476057000923902,97,0.7314285714285714
350,1,FS+Pre,6.325161598157138,98,0.7314285714285714
350,1,FS,7.528146397788078,98,0.72
350,1,PR,18.999277792871,55,0.43142857142857144
350,2,FS+Pre+ttl+SE+ema,7.203189200721681,71,0.7114285714285714
350,2,FS+Pre+ttl+SE,8.021249098703265,71,0.7114285714285714
350,2,FS+Pre+ttl,5.72406749939546,90,0.7542857142857143
350,2,FS+Pre,6.488044199068099,90,0.7542857142857143
350,2,FS,6.6028760015033185,90,0.7428571428571429
350,2,PR,18.155127802398056,53,0.4342857142857143
350,3,FS+Pre+ttl+SE+ema,7.335801096633077,69,0.7171428571428572
350,3,FS+Pre+ttl+SE,7.586517499294132,69,0.7171428571428572
350,3,FS+Pre+ttl,5.895487301517278,95,0.74
350,3,FS+Pre,5.848470498342067,95,0.74
350,3,FS,7.23307709954679,95,0.7285714285714285
350,3,PR,21.725504599045962,55,0.3028571428571429
350,4,FS+Pre+ttl+SE+ema,6.660625801887363,68,0.7171428571428572
350,4,FS+Pre+ttl+SE,6.6310564978048205,68,0.7171428571428572
350,4,FS+Pre+ttl,6.510992300696671,83,0.7628571428571429
350,4,FS+Pre,6.02760459901765,85,0.7657142857142857
350,4,FS,6.170036099851131,85,0.7571428571428571
350,4,PR,22.95621139416471,44,0.3485714285714286
350,5,FS+Pre+ttl+SE+ema,6.90166940074414,77,0.6914285714285714
350,5,FS+Pre+ttl+SE,7.127557803411037,77,0.6914285714285714
350,5,FS+Pre+ttl,6.80958150094375,91,0.7342857142857143
350,5,FS+Pre,5.890431400388479,96,0.7342857142857143
350,5,FS,5.957320195622742,96,0.7257142857142858
350,5,PR,14.312226597219706,58,0.4514285714285714
400,1,FS+Pre+ttl+SE+ema,8.104544597677886,71,0.735
400,1,FS+Pre+ttl+SE,7.518346399068832,71,0.735
400,1,FS+Pre+ttl,5.787463502027094,91,0.78
400,1,FS+Pre,6.434425202663988,91,0.78
400,1,FS,5.653723700903356,91,0.7725
400,1,PR,21.138798501342535,50,0.4575
400,2,FS+Pre+ttl+SE+ema,6.664646298624575,82,0.71
400,2,FS+Pre+ttl+SE,6.819518498145044,82,0.71
400,2,FS+Pre+ttl,6.360179996583611,98,0.765
400,2,FS+Pre,6.384543101768941,98,0.765
400,2,FS,5.493986699730158,98,0.755
400,2,PR,16.083071801811457,56,0.4025
400,3,FS+Pre+ttl+SE+ema,7.083937401883304,73,0.7325
400,3,FS+Pre+ttl+SE,7.05081039853394,73,0.7325
400,3,FS+Pre+ttl,5.981888600625098,96,0.77
