size,method,e2e_latency_mean,e2e_latency_std,final_cache_size_mean,final_cache_size_std,final_hitrate_mean,final_hitrate_std
150,FS+Pre+ttl+SE+ema,4.113761879887898,0.45838477141609807,56.0,4.0,0.5599999999999999,0.026666666666666672
150,NoCache,8.329387879942079,1.0785434542645083,0.0,0.0,0.0,0.0
