circuit,q,d,N,method,e2e_latency,final_cache_size,final_hitrate
QAOA-3reg,11,1,5,TransCache,18598.905380400014,1,1.0
QAOA-3reg,11,1,5,FullComp,1682.1211458999896,0,0.0
