step,duration_sec,band
02a_tls_auth,2.152373,client/local
02b_backend_query,0.278355,client/local
03_transpile,2.014722,client/local
04_upload_to_cloud,0.662661,client/local
05_to_09_queue,0.964935,server/utc
server_run,3.113350,server/utc
downlink_return,0.037720,server/utc
