step,duration_sec,band
02a_tls_auth,2.195255,client/local
02b_backend_query,0.260416,client/local
03_transpile,0.407668,client/local
04_upload_to_cloud,0.238024,client/local
05_to_09_queue,0.708137,server/utc
server_run,3.369317,server/utc
downlink_return,-0.847948,server/utc
