size,round,method,e2e_latency,final_cache_size,final_hitrate
250,1,FS+Pre+ttl+SE+ema,7.598668599999883,59,0.684
250,1,FS+ttl+SE+ema,11.640179700000317,57,0.668
250,1,FS+Pre,9.764968700001418,74,0.72
250,1,FS,10.992342900001177,74,0.704
250,1,NoCache,24.892608099993822,0,0.0
250,2,FS+Pre+ttl+SE+ema,10.379447299996173,71,0.636
250,2,FS+ttl+SE+ema,13.180737999996836,63,0.596
250,2,FS+Pre,9.434985700000198,81,0.692
250,2,FS,8.7510004999981,81,0.676
250,2,NoCache,23.907906099998854,0,0.0
250,3,FS+Pre+ttl+SE+ema,10.791130699989935,58,0.684
250,3,FS+ttl+SE+ema,11.215127399998892,58,0.668
250,3,FS+Pre,8.902794599999197,72,0.724
250,3,FS,9.302063300000555,72,0.712
250,3,NoCache,25.59317170000213,0,0.0
250,4,FS+Pre+ttl+SE+ema,10.981159500004196,64,0.664
250,4,FS+ttl+SE+ema,12.640023899993594,61,0.636
250,4,FS+Pre,9.604038500001934,78,0.704
250,4,FS,10.868512699995335,78,0.688
250,4,NoCache,25.945005600001423,0,0.0
250,5,FS+Pre+ttl+SE+ema,13.61216650000324,66,0.636
250,5,FS+ttl+SE+ema,12.195823199999722,66,0.62
250,5,FS+Pre,10.92745999999579,83,0.684
250,5,FS,12.581571800002166,83,0.668
250,5,NoCache,27.525216100006674,0,0.0
