size,method,n,mean,std,median,p25,p75,n_fail
250,FS,5.0,193.9671875,0.3700816791179347,193.91796875,193.62890625,194.25390625,0
250,PR,5.0,251.09453125,0.9187094750841394,250.99609375,250.2734375,251.51953125,0
250,TransCache,5.0,199.721875,2.272531767603178,198.765625,198.484375,201.859375,0
