Depth,N,Circuit,Qubits,Method,E2E_Latency_s,Speedup_vs_Full
4,10,VQE-Full,17,FS+Pre+ttl+SE+ema,0.1036675000505056,7.259941637217883
4,10,VQE-Full,17,FS,0.1843616999685764,4.08230125981282
4,10,VQE-Full,17,PR,1.0883732999791391,0.6915090622467293
4,10,VQE-Full,17,Full,0.7526200000429526,1.0
4,10,VQE-Full,23,FS+Pre+ttl+SE+ema,3.692476699972758,1.2733441757388861
4,10,VQE-Full,23,FS,3.773396300006425,1.24603760807044
4,10,VQE-Full,23,PR,5.409953300084453,0.8691006075576393
4,10,VQE-Full,23,Full,4.701793699961854,1.0
4,10,QSIM-XXZ,3,FS+Pre+ttl+SE+ema,0.017511000012746,14.381839973345471
4,10,QSIM-XXZ,3,FS,0.0452573000220581,5.564635977705656
4,10,QSIM-XXZ,3,PR,0.0534151999745518,4.714770328980252
4,10,QSIM-XXZ,3,Full,0.2518403999565635,1.0
4,10,QSIM-XXZ,11,FS+Pre+ttl+SE+ema,0.0669150000321678,6.1625225998757
4,10,QSIM-XXZ,11,FS,0.1059916000813245,3.8905460399929863
4,10,QSIM-XXZ,11,PR,0.1396311000571586,2.953247520073349
4,10,QSIM-XXZ,11,Full,0.4123651999689173,1.0
4,10,QSIM-XXZ,17,FS+Pre+ttl+SE+ema,0.1334159000834915,7.619591063341761
4,10,QSIM-XXZ,17,FS,0.2469514000986237,4.116496604505522
4,10,QSIM-XXZ,17,PR,0.5315954000980128,1.9123088721167234
4,10,QSIM-XXZ,17,Full,1.0165745999838691,1.0
4,10,QSIM-XXZ,23,FS+Pre+ttl+SE+ema,1.6671284000040032,1.5498691042390311
4,10,QSIM-XXZ,23,FS,1.7745589000114703,1.4560411603970724
4,10,QSIM-XXZ,23,PR,2.016215400042711,1.281525178267619
4,10,QSIM-XXZ,23,Full,2.5838307999656536,1.0
