Depth,N,Circuit,Qubits,Method,E2E_Latency_s,Speedup_vs_Full
4,10,VQE-Full,11,Full,0.2936815000139177,1.0
4,10,VQE-Full,17,FS+Pre+ttl+SE+ema,4.799978341907263e-06,61819.487285206684
4,10,VQE-Full,17,FS,0.0320010000141337,9.272591479820864
4,10,VQE-Full,17,PR,0.5150841000140645,0.5760849540273155
4,10,VQE-Full,17,Full,0.2967322000768035,1.0
4,10,VQE-Full,23,FS+Pre+ttl+SE+ema,4.8999791033566e-06,65619.19819199106
4,10,VQE-Full,23,FS,0.0331273999763652,9.705944328536784
4,10,VQE-Full,23,PR,0.6108922999701463,0.5263328739541887
4,10,VQE-Full,23,Full,0.3215326999197714,1.0
4,10,QSIM-XXZ,3,FS+Pre+ttl+SE+ema,7.399939931929111e-06,33956.78914496972
4,10,QSIM-XXZ,3,FS,0.0475794000085443,5.281239357974962
4,10,QSIM-XXZ,3,PR,0.0329342000186443,7.629704070896148
4,10,QSIM-XXZ,3,Full,0.2512781999539584,1.0
4,10,QSIM-XXZ,11,FS+Pre+ttl+SE+ema,5.89998671784997e-06,59640.82919466066
4,10,QSIM-XXZ,11,FS,0.0355084000038914,9.909770647269202
4,10,QSIM-XXZ,11,PR,0.0654688999638892,5.374767260243318
4,10,QSIM-XXZ,11,Full,0.3518801000900566,1.0
4,10,QSIM-XXZ,17,FS+Pre+ttl+SE+ema,5.599984433501959e-06,78014.55612377476
4,10,QSIM-XXZ,17,FS,0.0450089000514708,9.706531361133036
4,10,QSIM-XXZ,17,PR,0.0920483999652788,4.746201998562685
4,10,QSIM-XXZ,17,Full,0.4368802998797036,1.0
4,10,QSIM-XXZ,23,FS+Pre+ttl+SE+ema,9.000010322779417e-06,58270.188709020236
4,10,QSIM-XXZ,23,FS,0.0508119000587612,10.321052731446951
4,10,QSIM-XXZ,23,PR,0.1133932000375352,4.624900785213665
4,10,QSIM-XXZ,23,Full,0.5244322998914868,1.0
