step,duration_sec,band
02a_tls_auth,1.923431,client/local
02b_backend_query,0.261048,client/local
03_transpile,0.560365,client/local
04_upload_to_cloud,0.456836,client/local
05_to_09_queue,0.666600,server/utc
server_run,2.692693,server/utc
downlink_return,-0.953493,server/utc
