step,duration_sec,band
02a_tls_auth,2.194805,client/local
02b_backend_query,0.329807,client/local
03_transpile,0.599034,client/local
04_upload_to_cloud,0.207880,client/local
05_to_09_queue,0.447171,server/utc
server_run,3.301541,server/utc
downlink_return,-0.884465,server/utc
