circuit_tag,total_base,total_tcache,speedup_total,base_03,tc_02,tc_03,tc_07,tc_sum_020307,speedup_compile
GHZ-Chain\_d1\_allQ,0.672,0.183,3.67,0.605,0.002,0.122,0.004,0.129,4.69
GHZ-Chain\_d2\_allQ,0.681,0.188,3.62,0.627,0.002,0.116,0.015,0.134,4.69
GHZ-Chain\_d4\_allQ,0.693,0.325,2.13,0.625,0.003,0.211,0.043,0.257,2.43
GHZ-Chain\_d8\_allQ,0.651,0.305,2.13,0.588,0.003,0.119,0.130,0.252,2.33
GHZ-Chain\_d16\_allQ,0.664,0.404,1.64,0.601,0.004,0.122,0.220,0.346,1.74
GHZ-Chain\_d32\_allQ,0.751,0.822,-,0.675,0.005,0.140,0.609,0.754,-
LinearEnt\_d1\_allQ,0.754,0.243,3.11,0.682,0.003,0.163,0.006,0.171,3.98
LinearEnt\_d2\_allQ,0.773,0.225,3.43,0.701,0.003,0.139,0.018,0.160,4.37
LinearEnt\_d4\_allQ,1.141,0.301,3.79,1.021,0.005,0.180,0.031,0.216,4.73
LinearEnt\_d8\_allQ,1.575,0.680,2.32,1.430,0.010,0.276,0.255,0.541,2.64
LinearEnt\_d16\_allQ,2.574,0.838,3.07,2.391,0.016,0.451,0.195,0.662,3.61
LinearEnt\_d32\_allQ,3.967,1.520,2.61,3.589,0.032,0.690,0.480,1.203,2.98
QFT-Like\_d1\_allQ,1.321,0.343,3.85,1.235,0.003,0.251,0.007,0.260,4.74
QFT-Like\_d2\_allQ,1.917,0.463,4.14,1.801,0.005,0.336,0.017,0.357,5.04
QFT-Like\_d4\_allQ,3.334,1.044,3.19,3.145,0.008,0.663,0.113,0.785,4.01
QFT-Like\_d8\_allQ,6.029,1.855,3.25,5.608,0.017,1.226,0.254,1.497,3.75
QFT-Like\_d16\_allQ,11.095,3.011,3.68,10.146,0.027,2.134,0.214,2.375,4.27
QFT-Like\_d32\_allQ,23.625,6.090,3.88,22.084,0.052,4.299,0.252,4.604,4.80
