circuit_tag,total_base,total_tcache,speedup_total,base_03,tc_02,tc_03,tc_07,tc_sum_020307,speedup_compile
GHZ-Chain\_q3\_d1,0.142,0.031,4.56,0.129,0.001,0.019,0.000,0.020,6.32
GHZ-Chain\_q3\_d2,0.122,0.037,3.25,0.111,0.001,0.024,0.003,0.028,4.02
GHZ-Chain\_q3\_d4,0.126,0.102,1.24,0.113,0.001,0.085,0.005,0.091,1.24
GHZ-Chain\_q3\_d8,0.123,0.046,2.66,0.111,0.001,0.023,0.011,0.035,3.19
GHZ-Chain\_q3\_d16,0.134,0.070,1.90,0.120,0.001,0.023,0.034,0.058,2.05
GHZ-Chain\_q3\_d32,0.143,0.166,-,0.126,0.001,0.026,0.124,0.151,-
GHZ-Chain\_q5\_d1,0.136,0.041,3.31,0.119,0.001,0.022,0.001,0.024,4.99
GHZ-Chain\_q5\_d2,0.147,0.045,3.27,0.133,0.001,0.023,0.003,0.027,4.93
GHZ-Chain\_q5\_d4,0.135,0.057,2.36,0.117,0.001,0.034,0.007,0.041,2.83
GHZ-Chain\_q5\_d8,0.134,0.119,1.13,0.120,0.001,0.029,0.077,0.107,1.12
GHZ-Chain\_q5\_d16,0.148,0.157,-,0.132,0.001,0.030,0.110,0.141,-
GHZ-Chain\_q5\_d32,0.156,0.202,-,0.138,0.001,0.032,0.152,0.186,-
GHZ-Chain\_q6\_d1,0.162,0.061,2.65,0.141,0.001,0.046,0.001,0.048,2.92
GHZ-Chain\_q6\_d2,0.162,0.051,3.16,0.149,0.001,0.033,0.004,0.038,3.93
GHZ-Chain\_q6\_d4,0.247,0.105,2.34,0.224,0.001,0.056,0.021,0.079,2.85
GHZ-Chain\_q6\_d8,0.195,0.064,3.04,0.176,0.001,0.033,0.017,0.051,3.46
GHZ-Chain\_q6\_d16,0.173,0.087,2.00,0.158,0.001,0.030,0.041,0.072,2.19
GHZ-Chain\_q6\_d32,0.212,0.221,-,0.193,0.001,0.040,0.162,0.203,-
GHZ-Chain\_q7\_d1,0.231,0.049,4.67,0.216,0.001,0.034,0.002,0.036,5.93
GHZ-Chain\_q7\_d2,0.251,0.054,4.61,0.235,0.001,0.035,0.005,0.041,5.69
GHZ-Chain\_q7\_d4,0.186,0.061,3.04,0.171,0.001,0.036,0.010,0.046,3.72
GHZ-Chain\_q7\_d8,0.199,0.076,2.61,0.182,0.001,0.035,0.024,0.060,3.02
GHZ-Chain\_q7\_d16,0.209,0.090,2.32,0.191,0.001,0.038,0.035,0.074,2.57
GHZ-Chain\_q7\_d32,0.241,0.233,1.03,0.218,0.001,0.042,0.171,0.214,1.02
LinearEnt\_q3\_d1,0.138,0.035,3.90,0.127,0.000,0.024,0.001,0.025,5.13
LinearEnt\_q3\_d2,0.151,0.042,3.58,0.138,0.001,0.027,0.003,0.030,4.54
LinearEnt\_q3\_d4,0.188,0.051,3.70,0.172,0.001,0.032,0.005,0.038,4.48
LinearEnt\_q3\_d8,0.214,0.072,2.99,0.195,0.001,0.042,0.012,0.055,3.53
LinearEnt\_q3\_d16,0.321,0.181,1.77,0.294,0.002,0.058,0.098,0.158,1.86
LinearEnt\_q3\_d32,0.816,0.344,2.37,0.757,0.004,0.138,0.167,0.309,2.45
LinearEnt\_q5\_d1,0.209,0.087,2.41,0.188,0.001,0.059,0.001,0.061,3.08
LinearEnt\_q5\_d2,0.179,0.056,3.22,0.161,0.001,0.034,0.004,0.039,4.18
LinearEnt\_q5\_d4,0.209,0.068,3.07,0.190,0.001,0.039,0.007,0.047,4.04
