size,method,e2e_latency,final_cache_size
50,TransCache(Proposed),1.190886199241504,21
50,TransCache(Adaptive),1.551870800089091,10
50,FirstSeen,1.370988299138844,21
50,ParamReuse,2.0611073998734355,13
50,FullCompilation,2.8363749012351036,0
100,TransCache(Proposed),2.2968673016875982,25
100,TransCache(Adaptive),5.945126899285242,19
100,FirstSeen,5.403092600638047,28
100,ParamReuse,13.263293300522491,16
100,FullCompilation,16.29961719829589,0
150,TransCache(Proposed),8.74995409976691,25
150,TransCache(Adaptive),10.67713160160929,21
150,FirstSeen,9.000294296769425,41
150,ParamReuse,21.087013800861314,24
150,FullCompilation,29.78300060192123,0
200,TransCache(Proposed),10.96818770072423,25
200,TransCache(Adaptive),10.96948159695603,25
200,FirstSeen,8.419631001306698,45
200,ParamReuse,20.54980499879457,25
200,FullCompilation,29.838231500936672,0
300,TransCache(Proposed),14.70428250147961,25
300,TransCache(Adaptive),15.715040997136384,34
300,FirstSeen,12.09608959988691,46
300,ParamReuse,42.22759159980342,24
300,FullCompilation,62.53261090279557,0
350,TransCache(Proposed),15.009386600926518,25
350,TransCache(Adaptive),18.314195204060525,37
350,FirstSeen,11.95151710161008,50
350,ParamReuse,49.473996200598776,28
350,FullCompilation,63.00373070407659,0
400,TransCache(Proposed),18.986181602347642,25
400,TransCache(Adaptive),19.739652294898406,37
400,FirstSeen,13.587306800298393,53
400,ParamReuse,47.78535219933838,31
400,FullCompilation,68.34476729575545,0
450,TransCache(Proposed),19.738192902179435,25
450,TransCache(Adaptive),20.105015000794083,39
450,FirstSeen,14.965412100311369,54
450,ParamReuse,44.117854504147545,30
450,FullCompilation,75.26270449720323,0
500,TransCache(Proposed),23.027288400102407,25
500,TransCache(Adaptive),22.97815350163728,43
500,FirstSeen,14.539577097631991,56
500,ParamReuse,39.75203030370176,32
500,FullCompilation,69.84074500645511,0
