d,N,circuit,q,method,e2e_latency,final_cache_size,final_hitrate
4,10,VQE-Full,17,FS,0.03200100001413375,1,0.9
4,10,VQE-Full,17,PR,0.5150841000140645,0,0.0
4,10,VQE-Full,17,Full,0.29673220007680357,0,0.0
4,10,VQE-Full,23,FS+Pre+ttl+SE+ema,4.8999791033566e-06,1,1.0
4,10,VQE-Full,23,FS,0.03312739997636527,1,0.9
4,10,VQE-Full,23,PR,0.6108922999701463,0,0.0
4,10,VQE-Full,23,Full,0.3215326999197714,0,0.0
4,10,QSIM-XXZ,3,FS+Pre+ttl+SE+ema,7.3999399319291115e-06,1,1.0
4,10,QSIM-XXZ,3,FS,0.047579400008544326,1,0.9
4,10,QSIM-XXZ,3,PR,0.03293420001864433,1,0.9
4,10,QSIM-XXZ,3,Full,0.2512781999539584,0,0.0
4,10,QSIM-XXZ,11,FS+Pre+ttl+SE+ema,5.89998671784997e-06,1,1.0
4,10,QSIM-XXZ,11,FS,0.03550840000389144,1,0.9
4,10,QSIM-XXZ,11,PR,0.06546889996388927,1,0.9
4,10,QSIM-XXZ,11,Full,0.35188010009005666,0,0.0
4,10,QSIM-XXZ,17,FS+Pre+ttl+SE+ema,5.599984433501959e-06,1,1.0
4,10,QSIM-XXZ,17,FS,0.045008900051470846,1,0.9
4,10,QSIM-XXZ,17,PR,0.0920483999652788,1,0.9
4,10,QSIM-XXZ,17,Full,0.43688029987970367,0,0.0
4,10,QSIM-XXZ,23,FS+Pre+ttl+SE+ema,9.000010322779417e-06,1,1.0
4,10,QSIM-XXZ,23,FS,0.05081190005876124,1,0.9
4,10,QSIM-XXZ,23,PR,0.11339320003753528,1,0.9
4,10,QSIM-XXZ,23,Full,0.5244322998914868,0,0.0
