method,size,round,e2e_latency,final_cache_size,cost
FS,400,5,6.636520201340318,96,1.6000291739107972
PR,400,5,12.99683109484613,58,1.6752642899668455
FS+Pre+ttl+SE+ema,450,1,6.874599199742079,74,1.5140629171932352
FS,450,1,5.562381397001445,94,1.5910168890571068
PR,450,1,20.21353009995073,55,1.9545304563632115
FS+Pre+ttl+SE+ema,450,2,7.007249001879245,74,1.5150311565660177
FS,450,2,6.219442000146955,101,1.6166765435090327
PR,450,2,17.88796210102737,60,1.8758834444470016
FS+Pre+ttl+SE+ema,450,3,7.711721797008067,82,1.5534151695498828
FS,450,3,7.187173695769161,108,1.6415293993533486
PR,450,3,21.894286297261715,63,2.0064310393689193
FS+Pre+ttl+SE+ema,450,4,8.26113519910723,69,1.5108154797926021
FS,450,4,5.95669769635424,93,1.5878055848159704
PR,450,4,22.77074279822409,55,2.0317450428232084
FS+Pre+ttl+SE+ema,450,5,6.705814698245376,75,1.517366631349402
FS,450,5,5.856093801558018,100,1.6127808381931583
PR,450,5,14.500352198723704,59,1.742572733874286
FS+Pre+ttl+SE+ema,500,1,8.088784400839359,88,1.5788114889238754
FS,500,1,7.212753200437874,111,1.6509261034569418
PR,500,1,21.15145169897005,64,1.9841184952611783
FS+Pre+ttl+SE+ema,500,2,8.135052798781544,79,1.5465882336363475
FS,500,2,7.155728103592992,103,1.6253421363826517
PR,500,2,16.919494906440377,56,1.839855919659927
FS+Pre+ttl+SE+ema,500,3,8.312601602170616,85,1.5704577170960754
FS,500,3,6.54784509819001,106,1.6338349385146178
PR,500,3,20.69512880081311,60,1.9699009859886432
FS+Pre+ttl+SE+ema,500,4,8.16193410102278,78,1.543207054829497
FS,500,4,5.992768600117415,98,1.6059482632193427
PR,500,4,23.37929270369932,53,2.0488401286619196
FS+Pre+ttl+SE+ema,500,5,8.40921409521252,86,1.5750501374458583
FS,500,5,9.113479298073798,110,1.6568486483617282
PR,500,5,19.38638739613816,65,1.9279140372951329
