method,transT1,transT2,transT3,transT4,transT5
FullComp,1.5704184000,1.5618220001,1.5091009000,1.3814558999,1.1642669000
Braket,1.4815941000,1.3817173999,1.3639148000,0.9803859000,0.7801315001
CCache,1.7263866999,0.0000019000,0.0000013000,0.0000008000,0.0000011999
TransCache,0.0000066999,0.0000006000,0.0000007000,0.0000007000,0.0000005999
