method,size,round,e2e_latency,final_cache_size,utility
FS+Pre+ttl+SE+ema,450,5,6.705814698245376,75,1e-12
FS,450,5,5.856093801558018,100,1e-12
PR,450,5,14.500352198723704,59,1e-12
FS+Pre+ttl+SE+ema,500,1,8.088784400839359,88,1e-12
FS,500,1,7.212753200437874,111,1e-12
PR,500,1,21.15145169897005,64,1e-12
FS+Pre+ttl+SE+ema,500,2,8.135052798781544,79,1e-12
FS,500,2,7.155728103592992,103,1e-12
PR,500,2,16.919494906440377,56,1e-12
FS+Pre+ttl+SE+ema,500,3,8.312601602170616,85,1e-12
FS,500,3,6.54784509819001,106,1e-12
PR,500,3,20.69512880081311,60,1e-12
FS+Pre+ttl+SE+ema,500,4,8.16193410102278,78,1e-12
FS,500,4,5.992768600117415,98,1e-12
PR,500,4,23.37929270369932,53,1e-12
FS+Pre+ttl+SE+ema,500,5,8.40921409521252,86,1e-12
FS,500,5,9.113479298073798,110,1e-12
PR,500,5,19.38638739613816,65,1e-12
