size,method,e2e_latency,final_cache_size
50,FS+Pre,0.7342604007571936,22
50,FS,0.8495890013873577,22
100,FS+Pre,1.341910399030894,34
100,FS,1.5156215010210872,34
150,FS+Pre,1.8361154990270734,39
150,FS,1.8231107001192868,39
200,FS+Pre,1.8667886024340987,41
200,FS,1.92207309929654,41
300,FS+Pre,2.3907364988699555,51
300,FS,2.282198699656874,51
350,FS+Pre,2.381522499024868,54
350,FS,2.310786000918597,54
