step,duration_sec,band
02a_tls_auth,2.015621,client/local
02b_backend_query,0.281610,client/local
03_transpile,1.510703,client/local
04_upload_to_cloud,0.207658,client/local
05_to_09_queue,1.193939,server/utc
server_run,2.883609,server/utc
downlink_return,-0.720644,server/utc
