method,transT1,transT2,transT3,transT4,transT5
FullComp,1.1949674999,0.0257554001,0.0323812000,0.0738369001,0.0322209999
Braket,0.4980438001,0.0002415000,0.0002194999,0.0001660000,0.0002898000
CCache,0.4915793000,0.0000005000,0.0000008000,0.0000006000,0.0000014000
TransCache,0.0000008000,0.0000003000,0.0000010000,0.0000014000,0.0000016000
