circuit,q,d,N,method,e2e_latency,final_cache_size,final_hitrate
Bell,2,4,5,FullComp,12.04222479998134,0,0.0
Bell,2,4,5,Braket,11.943011100054719,0,0.0
Bell,2,4,5,CCache,11.417196900001727,1,0.8
Bell,2,4,5,TransCache,10.267065799795091,1,1.0
