circuit,q,d,N,method,e2e_latency,final_cache_size,final_hitrate
QAOA,16,4,5,FullComp,12.862023599911481,0,0.0
QAOA,16,4,5,Braket,12.694060600013472,1,0.8
QAOA,16,4,5,CCache,12.091599099803716,1,0.8
QAOA,16,4,5,TransCache,12.800255900016055,1,1.0
