circuit_tag,total_base,total_tcache,speedup_total,base_03,tc_02,tc_03,tc_07,tc_sum_020307,speedup_compile
GHZ-Chain\_q3\_allD,1.719,0.518,3.32,1.540,0.009,0.136,0.240,0.384,4.01
GHZ-Chain\_q5\_allD,1.850,0.542,3.42,1.666,0.009,0.157,0.209,0.375,4.44
GHZ-Chain\_q6\_allD,2.070,0.498,4.16,1.866,0.009,0.194,0.110,0.313,5.96
GHZ-Chain\_q7\_allD,2.552,0.705,3.62,2.314,0.010,0.230,0.277,0.516,4.49
LinearEnt\_q3\_allD,2.903,0.600,4.84,2.675,0.018,0.278,0.090,0.386,6.93
LinearEnt\_q5\_allD,4.353,1.009,4.31,3.981,0.029,0.392,0.175,0.596,6.68
LinearEnt\_q6\_allD,5.628,1.270,4.43,5.211,0.040,0.637,0.134,0.812,6.42
LinearEnt\_q7\_allD,7.216,1.526,4.73,6.488,0.048,0.755,0.152,0.956,6.79
QFT-Like\_q3\_allD,5.943,1.236,4.81,5.404,0.019,0.697,0.128,0.844,6.40
QFT-Like\_q5\_allD,22.658,4.019,5.64,21.367,0.058,2.333,0.201,2.593,8.24
QFT-Like\_q6\_allD,26.128,4.433,5.89,24.258,0.067,2.336,0.272,2.674,9.07
QFT-Like\_q7\_allD,45.680,7.338,6.23,42.834,0.091,4.316,0.387,4.795,8.93
