step,duration_sec,band
02a_tls_auth,2.117680,client/local
02b_backend_query,0.274331,client/local
03_transpile,1.789777,client/local
04_upload_to_cloud,0.296818,client/local
05_to_09_queue,1.399581,server/utc
server_run,6.530807,server/utc
downlink_return,-0.807982,server/utc
