circuit,q,d,logic_num_qubits,logic_depth,logic_twoq_depth,logic_size,logic_oneq,logic_twoq,logic_threeq,logic_cx,logic_cz,logic_swap,logic_measure,logic_barrier
VQE-Full,17,1,17,18,17,34,17,17,0,17,0,0,0,0
VQE-Full,17,2,17,36,34,68,34,34,0,34,0,0,0,0
VQE-Full,17,3,17,54,51,102,51,51,0,51,0,0,0,0
VQE-Full,17,4,17,72,68,136,68,68,0,68,0,0,0,0
VQE-Full,23,1,23,24,23,46,23,23,0,23,0,0,0,0
VQE-Full,23,2,23,48,46,92,46,46,0,46,0,0,0,0
VQE-Full,23,3,23,72,69,138,69,69,0,69,0,0,0,0
VQE-Full,23,4,23,96,92,184,92,92,0,92,0,0,0,0
QSIM-XXZ,3,1,3,12,8,12,4,8,0,8,0,0,0,0
QSIM-XXZ,3,2,3,24,16,25,8,16,1,16,0,0,0,1
QSIM-XXZ,3,3,3,36,24,38,12,24,2,24,0,0,0,2
QSIM-XXZ,3,4,3,48,32,51,16,32,3,32,0,0,0,3
QSIM-XXZ,11,1,11,60,40,60,20,40,0,40,0,0,0,0
QSIM-XXZ,11,2,11,72,48,121,40,80,0,80,0,0,0,1
QSIM-XXZ,11,3,11,84,56,182,60,120,0,120,0,0,0,2
QSIM-XXZ,11,4,11,96,64,243,80,160,0,160,0,0,0,3
QSIM-XXZ,17,1,17,96,64,96,32,64,0,64,0,0,0,0
QSIM-XXZ,17,2,17,108,72,193,64,128,0,128,0,0,0,1
QSIM-XXZ,17,3,17,120,80,290,96,192,0,192,0,0,0,2
QSIM-XXZ,17,4,17,132,88,387,128,256,0,256,0,0,0,3
QSIM-XXZ,23,1,23,132,88,132,44,88,0,88,0,0,0,0
QSIM-XXZ,23,2,23,144,96,265,88,176,0,176,0,0,0,1
QSIM-XXZ,23,3,23,156,104,398,132,264,0,264,0,0,0,2
QSIM-XXZ,23,4,23,168,112,531,176,352,0,352,0,0,0,3
