q,circuit,hw_num_qubits,d,hw_size,hw_twoq,hw_depth,hw_twoq_depth,hw_oneq,logic_num_qubits,logic_depth,logic_twoq_depth,logic_size,logic_oneq,logic_twoq,logic_threeq,logic_cx,logic_cz,logic_swap,logic_measure,logic_barrier,hw_threeq,hw_cx,hw_cz,hw_swap,hw_measure,hw_barrier
3,QAOA-3reg,3,3,39,18,31,18,21,3,31,18,39,21,18,0,18,0,0,0,0,0,18,0,0,0,0
3,QAOA-3reg,3,4,51,24,41,24,27,3,41,24,51,27,24,0,24,0,0,0,0,0,24,0,0,0,0
11,QAOA-3reg,11,1,70,32,17,10,38,11,17,10,70,38,32,0,32,0,0,0,0,0,32,0,0,0,0
11,QAOA-3reg,11,2,129,64,33,20,65,11,33,20,129,65,64,0,64,0,0,0,0,0,64,0,0,0,0
11,QAOA-3reg,11,3,188,96,49,30,92,11,49,30,188,92,96,0,96,0,0,0,0,0,96,0,0,0,0
11,QAOA-3reg,11,4,247,128,65,40,119,11,65,40,247,119,128,0,128,0,0,0,0,0,128,0,0,0,0
17,QAOA-3reg,17,1,109,50,20,12,59,17,20,12,109,59,50,0,50,0,0,0,0,0,50,0,0,0,0
17,QAOA-3reg,17,2,201,100,39,24,101,17,39,24,201,101,100,0,100,0,0,0,0,0,100,0,0,0,0
17,QAOA-3reg,17,3,293,150,58,36,143,17,58,36,293,143,150,0,150,0,0,0,0,0,150,0,0,0,0
17,QAOA-3reg,17,4,385,200,77,48,185,17,77,48,385,185,200,0,200,0,0,0,0,0,200,0,0,0,0
23,QAOA-3reg,23,1,145,66,23,14,79,23,23,14,145,79,66,0,66,0,0,0,0,0,66,0,0,0,0
23,QAOA-3reg,23,2,267,132,39,24,135,23,39,24,267,135,132,0,132,0,0,0,0,0,132,0,0,0,0
23,QAOA-3reg,23,3,389,198,55,34,191,23,55,34,389,191,198,0,198,0,0,0,0,0,198,0,0,0,0
23,QAOA-3reg,23,4,511,264,71,44,247,23,71,44,511,247,264,0,264,0,0,0,0,0,264,0,0,0,0
3,RCA,3,1,2,1,2,2,0,3,2,2,2,0,1,1,1,0,0,0,0,1,1,0,0,0,0
3,RCA,3,2,5,2,4,4,0,3,4,4,5,0,2,3,2,0,0,0,1,3,2,0,0,0,1
3,RCA,3,3,8,3,6,6,0,3,6,6,8,0,3,5,3,0,0,0,2,5,3,0,0,0,2
3,RCA,3,4,11,4,8,8,0,3,8,8,11,0,4,7,4,0,0,0,3,7,4,0,0,0,3
11,RCA,11,1,14,9,14,14,0,11,14,14,14,0,9,5,9,0,0,0,0,5,9,0,0,0,0
11,RCA,11,2,29,18,27,27,0,11,27,27,29,0,18,10,18,0,0,0,1,10,18,0,0,0,1
11,RCA,11,3,44,27,40,40,0,11,40,40,44,0,27,15,27,0,0,0,2,15,27,0,0,0,2
11,RCA,11,4,59,36,53,53,0,11,53,53,59,0,36,20,36,0,0,0,3,20,36,0,0,0,3
17,RCA,17,1,23,15,23,23,0,17,23,23,23,0,15,8,15,0,0,0,0,8,15,0,0,0,0
17,RCA,17,2,47,30,45,45,0,17,45,45,47,0,30,16,30,0,0,0,1,16,30,0,0,0,1
17,RCA,17,3,71,45,67,67,0,17,67,67,71,0,45,24,45,0,0,0,2,24,45,0,0,0,2
17,RCA,17,4,95,60,89,89,0,17,89,89,95,0,60,32,60,0,0,0,3,32,60,0,0,0,3
23,RCA,23,1,32,21,32,32,0,23,32,32,32,0,21,11,21,0,0,0,0,11,21,0,0,0,0
23,RCA,23,2,65,42,63,63,0,23,63,63,65,0,42,22,42,0,0,0,1,22,42,0,0,0,1
23,RCA,23,3,98,63,94,94,0,23,94,94,98,0,63,33,63,0,0,0,2,33,63,0,0,0,2
23,RCA,23,4,131,84,125,125,0,23,125,125,131,0,84,44,84,0,0,0,3,44,84,0,0,0,3
3,VQE-Full,3,1,6,3,4,3,3,3,4,3,6,3,3,0,3,0,0,0,0,0,3,0,0,0,0
3,VQE-Full,3,2,12,6,8,6,6,3,8,6,12,6,6,0,6,0,0,0,0,0,6,0,0,0,0
3,VQE-Full,3,3,18,9,12,9,9,3,12,9,18,9,9,0,9,0,0,0,0,0,9,0,0,0,0
3,VQE-Full,3,4,24,12,16,12,12,3,16,12,24,12,12,0,12,0,0,0,0,0,12,0,0,0,0
11,VQE-Full,11,1,22,11,12,11,11,11,12,11,22,11,11,0,11,0,0,0,0,0,11,0,0,0,0
11,VQE-Full,11,2,44,22,24,22,22,11,24,22,44,22,22,0,22,0,0,0,0,0,22,0,0,0,0
11,VQE-Full,11,3,66,33,36,33,33,11,36,33,66,33,33,0,33,0,0,0,0,0,33,0,0,0,0
11,VQE-Full,11,4,88,44,48,44,44,11,48,44,88,44,44,0,44,0,0,0,0,0,44,0,0,0,0
17,VQE-Full,17,1,34,17,18,17,17,17,18,17,34,17,17,0,17,0,0,0,0,0,17,0,0,0,0
17,VQE-Full,17,2,68,34,36,34,34,17,36,34,68,34,34,0,34,0,0,0,0,0,34,0,0,0,0
17,VQE-Full,17,3,102,51,54,51,51,17,54,51,102,51,51,0,51,0,0,0,0,0,51,0,0,0,0
17,VQE-Full,17,4,136,68,72,68,68,17,72,68,136,68,68,0,68,0,0,0,0,0,68,0,0,0,0
23,VQE-Full,23,1,46,23,24,23,23,23,24,23,46,23,23,0,23,0,0,0,0,0,23,0,0,0,0
23,VQE-Full,23,2,92,46,48,46,46,23,48,46,92,46,46,0,46,0,0,0,0,0,46,0,0,0,0
23,VQE-Full,23,3,138,69,72,69,69,23,72,69,138,69,69,0,69,0,0,0,0,0,69,0,0,0,0
23,VQE-Full,23,4,184,92,96,92,92,23,96,92,184,92,92,0,92,0,0,0,0,0,92,0,0,0,0
3,QSIM-XXZ,3,1,12,8,12,8,4,3,12,8,12,4,8,0,8,0,0,0,0,0,8,0,0,0,0
3,QSIM-XXZ,3,2,25,16,24,16,8,3,24,16,25,8,16,1,16,0,0,0,1,1,16,0,0,0,1
3,QSIM-XXZ,3,3,38,24,36,24,12,3,36,24,38,12,24,2,24,0,0,0,2,2,24,0,0,0,2
3,QSIM-XXZ,3,4,51,32,48,32,16,3,48,32,51,16,32,3,32,0,0,0,3,3,32,0,0,0,3
11,QSIM-XXZ,11,1,60,40,60,40,20,11,60,40,60,20,40,0,40,0,0,0,0,0,40,0,0,0,0
11,QSIM-XXZ,11,2,121,80,72,48,40,11,72,48,121,40,80,0,80,0,0,0,1,0,80,0,0,0,1
11,QSIM-XXZ,11,3,182,120,84,56,60,11,84,56,182,60,120,0,120,0,0,0,2,0,120,0,0,0,2
11,QSIM-XXZ,11,4,243,160,96,64,80,11,96,64,243,80,160,0,160,0,0,0,3,0,160,0,0,0,3
17,QSIM-XXZ,17,1,96,64,96,64,32,17,96,64,96,32,64,0,64,0,0,0,0,0,64,0,0,0,0
17,QSIM-XXZ,17,2,193,128,108,72,64,17,108,72,193,64,128,0,128,0,0,0,1,0,128,0,0,0,1
17,QSIM-XXZ,17,3,290,192,120,80,96,17,120,80,290,96,192,0,192,0,0,0,2,0,192,0,0,0,2
17,QSIM-XXZ,17,4,387,256,132,88,128,17,132,88,387,128,256,0,256,0,0,0,3,0,256,0,0,0,3
23,QSIM-XXZ,23,1,132,88,132,88,44,23,132,88,132,44,88,0,88,0,0,0,0,0,88,0,0,0,0
23,QSIM-XXZ,23,2,265,176,144,96,88,23,144,96,265,88,176,0,176,0,0,0,1,0,176,0,0,0,1
23,QSIM-XXZ,23,3,398,264,156,104,132,23,156,104,398,132,264,0,264,0,0,0,2,0,264,0,0,0,2
23,QSIM-XXZ,23,4,531,352,168,112,176,23,168,112,531,176,352,0,352,0,0,0,3,0,352,0,0,0,3
