method,transT1,transT2,transT3,transT4,transT5
FullComp,1.0498609000,0.0256737000,0.0242251999,0.0225949000,0.0222947000
Braket,0.5454517000,0.0215884000,0.0224743000,0.0219040000,0.0231777000
CCache,0.4654203000,0.0000025000,0.0000044999,0.0000017000,0.0000034999
TransCache,0.0000003000,0.0000024000,0.0000020000,0.0000027999,0.0000011000
