index,size
2,4
4,5
6,5
8,6
10,6
12,8
14,8
16,9
18,10
20,11
22,12
24,13
26,14
28,14
30,15
32,15
34,15
36,16
38,17
40,18
42,16
44,16
46,17
48,17
50,17
52,18
54,19
56,19
58,19
60,19
62,19
64,20
66,20
68,20
70,20
72,20
74,20
76,20
78,21
80,21
82,20
84,20
86,20
88,21
90,21
92,22
94,22
96,23
98,23
100,23
102,24
104,25
106,25
108,26
110,27
112,28
114,29
116,29
118,30
120,30
122,28
124,28
126,28
128,28
130,28
132,28
134,28
136,28
138,29
140,29
142,29
144,29
146,29
148,29
150,29
152,29
154,30
156,30
158,30
160,30
162,28
164,29
166,29
168,29
170,29
172,30
174,30
176,30
178,31
180,32
182,33
184,33
186,34
188,34
190,35
192,36
194,36
196,36
198,36
200,36
202,35
204,35
206,36
208,37
210,38
212,39
214,39
216,40
218,41
220,41
222,41
224,41
226,42
228,42
230,43
232,43
234,44
236,44
238,44
240,44
242,42
244,42
246,43
248,43
250,44
252,44
254,44
256,44
258,44
260,44
262,45
264,46
266,46
268,46
270,46
272,46
274,46
276,47
278,47
280,47
282,45
284,45
286,46
288,46
290,46
292,47
294,48
296,48
298,49
300,49
