method,transT1,transT2,transT3,transT4,transT5
FullComp,2.3587490000,1.7414928999,1.6570751000,0.9640178001,0.8637513000
Braket,1.6993680000,1.1147465000,1.5726547000,1.6328758000,1.0976279000
CCache,1.9470755000,0.0000010000,0.0000011999,0.0000007000,0.0000008000
TransCache,0.0000009999,0.0000008000,0.0000006000,0.0000006000,0.0000006000
