circuit,q,d,e2e_latency,method,N,final_cache_size,final_hitrate
GHZ-Chain,3,1,0.014007399964611977,FS+Pre+ttl+SE+ema,10,1,1.0
GHZ-Chain,3,1,0.04089369991561398,FS,10,1,0.9
GHZ-Chain,3,1,0.3124918000539765,PR,10,0,0.0
GHZ-Chain,3,1,0.23196799994911999,Full,10,0,0.0
GHZ-Chain,3,2,0.04338819993427023,FS+Pre+ttl+SE+ema,10,1,1.0
GHZ-Chain,3,2,0.05868060002103448,FS,10,1,0.9
GHZ-Chain,3,2,0.04527050006436184,PR,10,1,0.9
GHZ-Chain,3,2,0.22417130012763664,Full,10,0,0.0
GHZ-Chain,11,1,0.015440899995155632,FS+Pre+ttl+SE+ema,10,1,1.0
GHZ-Chain,11,1,0.03800050006248057,FS,10,1,0.9
GHZ-Chain,11,1,0.4312239999999292,PR,10,0,0.0
GHZ-Chain,11,1,0.2251062000868842,Full,10,0,0.0
GHZ-Chain,11,2,0.025870900019071996,FS+Pre+ttl+SE+ema,10,1,1.0
GHZ-Chain,11,2,0.039531299902591854,FS,10,1,0.9
GHZ-Chain,11,2,0.0627069000620395,PR,10,1,0.9
GHZ-Chain,11,2,0.23237100010737777,Full,10,0,0.0
GHZ-Chain,17,1,0.04899239994119853,FS+Pre+ttl+SE+ema,10,1,1.0
GHZ-Chain,17,1,0.11209449998568743,FS,10,1,0.9
GHZ-Chain,17,1,1.0763924000784755,PR,10,0,0.0
GHZ-Chain,17,1,0.5228361000772566,Full,10,0,0.0
GHZ-Chain,17,2,0.04000320011982694,FS+Pre+ttl+SE+ema,10,1,1.0
GHZ-Chain,17,2,0.09098089998587966,FS,10,1,0.9
GHZ-Chain,17,2,0.15494500001659617,PR,10,1,0.9
GHZ-Chain,17,2,0.5910385000752285,Full,10,0,0.0
GHZ-Chain,23,1,0.8269484000047669,FS+Pre+ttl+SE+ema,10,1,1.0
GHZ-Chain,23,1,0.9071275001042522,FS,10,1,0.9
GHZ-Chain,23,1,2.202031600114424,PR,10,0,0.0
GHZ-Chain,23,1,1.293677999987267,Full,10,0,0.0
GHZ-Chain,23,2,0.8045214001322165,FS+Pre+ttl+SE+ema,10,1,1.0
GHZ-Chain,23,2,0.8763596999342553,FS,10,1,0.9
GHZ-Chain,23,2,0.986640099901706,PR,10,1,0.9
GHZ-Chain,23,2,1.3741788999177516,Full,10,0,0.0
LinearEnt,3,1,0.011842099949717522,FS+Pre+ttl+SE+ema,10,1,1.0
LinearEnt,3,1,0.03754669998306781,FS,10,1,0.9
LinearEnt,3,1,0.045397100038826466,PR,10,1,0.9
LinearEnt,3,1,0.2506032998790033,Full,10,0,0.0
LinearEnt,3,2,0.013311599963344634,FS+Pre+ttl+SE+ema,10,1,1.0
LinearEnt,3,2,0.03703219996532425,FS,10,1,0.9
LinearEnt,3,2,0.049179599911440164,PR,10,1,0.9
LinearEnt,3,2,0.24261859996477142,Full,10,0,0.0
LinearEnt,11,1,0.024335499911103398,FS+Pre+ttl+SE+ema,10,1,1.0
LinearEnt,11,1,0.05021650000708178,FS,10,1,0.9
LinearEnt,11,1,0.07343260000925511,PR,10,1,0.9
LinearEnt,11,1,0.25798139994731173,Full,10,0,0.0
LinearEnt,11,2,0.025088800000958145,FS+Pre+ttl+SE+ema,10,1,1.0
LinearEnt,11,2,0.055667499953415245,FS,10,1,0.9
LinearEnt,11,2,0.1038138999720104,PR,10,1,0.9
LinearEnt,11,2,0.3418770998250693,Full,10,0,0.0
LinearEnt,17,1,0.05732599989278242,FS+Pre+ttl+SE+ema,10,1,1.0
LinearEnt,17,1,0.10685459995875135,FS,10,1,0.9
LinearEnt,17,1,0.1715414001373574,PR,10,1,0.9
LinearEnt,17,1,0.6129273999831639,Full,10,0,0.0
LinearEnt,17,2,0.07066090020816773,FS+Pre+ttl+SE+ema,10,1,1.0
LinearEnt,17,2,0.13344380009220913,FS,10,1,0.9
LinearEnt,17,2,0.23280129994964227,PR,10,1,0.9
LinearEnt,17,2,0.833307099994272,Full,10,0,0.0
LinearEnt,23,1,0.8680040999897756,FS+Pre+ttl+SE+ema,10,1,1.0
LinearEnt,23,1,0.9197559002204798,FS,10,1,0.9
LinearEnt,23,1,1.0090738998842426,PR,10,1,0.9
LinearEnt,23,1,1.8392308999900706,Full,10,0,0.0
LinearEnt,23,2,1.5032756999135017,FS+Pre+ttl+SE+ema,10,1,1.0
LinearEnt,23,2,1.6000729000079446,FS,10,1,0.9
LinearEnt,23,2,1.6289392999606207,PR,10,1,0.9
LinearEnt,23,2,2.3122734000207856,Full,10,0,0.0
QFT-Like,3,1,0.011915600101929158,FS+Pre+ttl+SE+ema,10,1,1.0
QFT-Like,3,1,0.035802300029899925,FS,10,1,0.9
QFT-Like,3,1,0.3070494999992661,PR,10,0,0.0
QFT-Like,3,1,0.23373119998723269,Full,10,0,0.0
QFT-Like,3,2,0.012903699767775834,FS+Pre+ttl+SE+ema,10,1,1.0
QFT-Like,3,2,0.036798000102862716,FS,10,1,0.9
QFT-Like,3,2,0.35179400007473305,PR,10,0,0.0
QFT-Like,3,2,0.2438065000460483,Full,10,0,0.0
QFT-Like,11,1,0.03139420005027205,FS+Pre+ttl+SE+ema,10,1,1.0
QFT-Like,11,1,0.07759020000230521,FS,10,1,0.9
QFT-Like,11,1,1.2014013000880368,PR,10,0,0.0
QFT-Like,11,1,0.4309360000770539,Full,10,0,0.0
QFT-Like,11,2,0.0437544000451453,FS+Pre+ttl+SE+ema,10,1,1.0
QFT-Like,11,2,0.09406689996831119,FS,10,1,0.9
QFT-Like,11,2,2.1818321000318974,PR,10,0,0.0
QFT-Like,11,2,0.5673772997688502,Full,10,0,0.0
QFT-Like,17,1,0.18402489996515214,FS+Pre+ttl+SE+ema,10,1,1.0
QFT-Like,17,1,0.21557280007982627,FS,10,1,0.9
QFT-Like,17,1,3.106677200004924,PR,10,0,0.0
QFT-Like,17,1,1.1613374002627097,Full,10,0,0.0
QFT-Like,17,2,0.16382610012078658,FS+Pre+ttl+SE+ema,10,1,1.0
QFT-Like,17,2,0.298339799977839,FS,10,1,0.9
QFT-Like,17,2,5.319866799982265,PR,10,0,0.0
QFT-Like,17,2,1.5829879999510013,Full,10,0,0.0
QFT-Like,23,1,4.295392600120977,FS+Pre+ttl+SE+ema,10,1,1.0
QFT-Like,23,1,4.480080699897371,FS,10,1,0.9
QFT-Like,23,1,9.156090300064534,PR,10,0,0.0
QFT-Like,23,1,5.7403808000381105,Full,10,0,0.0
QFT-Like,23,2,9.540452300163452,FS+Pre+ttl+SE+ema,10,1,1.0
QFT-Like,23,2,9.813690100098029,FS,10,1,0.9
QFT-Like,23,2,18.93463460006751,PR,10,0,0.0
QFT-Like,23,2,11.845315400219988,Full,10,0,0.0
QAOA-3reg,3,1,0.012425400083884597,FS+Pre+ttl+SE+ema,10,1,1.0
QAOA-3reg,3,1,0.040066400018986315,FS,10,1,0.9
QAOA-3reg,3,1,0.05583550001028925,PR,10,1,0.9
QAOA-3reg,3,1,0.24365469999611378,Full,10,0,0.0
QAOA-3reg,3,2,0.01499809994129464,FS+Pre+ttl+SE+ema,10,1,1.0
QAOA-3reg,3,2,0.04151299980003387,FS,10,1,0.9
QAOA-3reg,3,2,0.07125940005062148,PR,10,1,0.9
QAOA-3reg,3,2,0.2634165001218207,Full,10,0,0.0
QAOA-3reg,11,1,0.030083499907050282,FS+Pre+ttl+SE+ema,10,1,1.0
QAOA-3reg,11,1,0.05953829997451976,FS,10,1,0.9
QAOA-3reg,11,1,0.12219509988790378,PR,10,1,0.9
QAOA-3reg,11,1,0.29789969976991415,Full,10,0,0.0
QAOA-3reg,11,2,0.040607000060845166,FS+Pre+ttl+SE+ema,10,1,1.0
QAOA-3reg,11,2,0.07907610002439469,FS,10,1,0.9
QAOA-3reg,11,2,0.1956527001457289,PR,10,1,0.9
QAOA-3reg,11,2,0.33960960002150387,Full,10,0,0.0
QAOA-3reg,17,1,0.07769390003522858,FS+Pre+ttl+SE+ema,10,1,1.0
QAOA-3reg,17,1,0.14166060008574277,FS,10,1,0.9
QAOA-3reg,17,1,0.250378500088118,PR,10,1,0.9
QAOA-3reg,17,1,0.6788364999229088,Full,10,0,0.0
QAOA-3reg,17,2,0.116241299896501,FS+Pre+ttl+SE+ema,10,1,1.0
QAOA-3reg,17,2,0.2016271999455057,FS,10,1,0.9
QAOA-3reg,17,2,0.39084099989850074,PR,10,1,0.9
QAOA-3reg,17,2,0.8271200999733992,Full,10,0,0.0
QAOA-3reg,23,1,1.5977605001535267,FS+Pre+ttl+SE+ema,10,1,1.0
QAOA-3reg,23,1,1.675636900065001,FS,10,1,0.9
QAOA-3reg,23,1,1.8165664002299309,PR,10,1,0.9
QAOA-3reg,23,1,2.267511200043373,Full,10,0,0.0
QAOA-3reg,23,2,2.9799946999992244,FS+Pre+ttl+SE+ema,10,1,1.0
QAOA-3reg,23,2,3.0842804998974316,FS,10,1,0.9
QAOA-3reg,23,2,3.4343553998623975,PR,10,1,0.9
QAOA-3reg,23,2,3.7771410001441836,Full,10,0,0.0
RCA,3,1,0.010555399989243597,FS+Pre+ttl+SE+ema,10,1,1.0
RCA,3,1,0.02995659993030131,FS,10,1,0.9
RCA,3,1,0.2648748999927193,PR,10,0,0.0
RCA,3,1,0.22126210009446368,Full,10,0,0.0
RCA,3,2,0.010520599957089871,FS+Pre+ttl+SE+ema,10,1,1.0
RCA,3,2,0.03479509998578578,FS,10,1,0.9
RCA,3,2,0.30856910010334104,PR,10,0,0.0
RCA,3,2,0.22334680001949891,Full,10,0,0.0
RCA,11,1,0.015394400106742978,FS+Pre+ttl+SE+ema,10,1,1.0
RCA,11,1,0.041124099981971085,FS,10,1,0.9
RCA,11,1,0.4278255999670364,PR,10,0,0.0
RCA,11,1,0.24009680008748546,Full,10,0,0.0
RCA,11,2,0.020191699964925647,FS+Pre+ttl+SE+ema,10,1,1.0
RCA,11,2,0.04497700004139915,FS,10,1,0.9
RCA,11,2,0.6208513999008574,PR,10,0,0.0
RCA,11,2,0.2509740000241436,Full,10,0,0.0
RCA,17,1,0.03971460013417527,FS+Pre+ttl+SE+ema,10,1,1.0
RCA,17,1,0.08683079987531528,FS,10,1,0.9
RCA,17,1,1.060390500118956,PR,10,0,0.0
RCA,17,1,0.5385872999322601,Full,10,0,0.0
RCA,17,2,0.05420020001474768,FS+Pre+ttl+SE+ema,10,1,1.0
RCA,17,2,0.10609689995180815,FS,10,1,0.9
RCA,17,2,1.3533810999942943,PR,10,0,0.0
RCA,17,2,0.5644577001221478,Full,10,0,0.0
RCA,23,1,0.8066515001119114,FS+Pre+ttl+SE+ema,10,1,1.0
RCA,23,1,0.8614976000390016,FS,10,1,0.9
RCA,23,1,1.9475946999737062,PR,10,0,0.0
RCA,23,1,1.3516746999230236,Full,10,0,0.0
RCA,23,2,1.382703399984166,FS+Pre+ttl+SE+ema,10,1,1.0
RCA,23,2,1.44549819995882,FS,10,1,0.9
RCA,23,2,2.9026206999551505,PR,10,0,0.0
RCA,23,2,1.9268870999803767,Full,10,0,0.0
VQE-Full,3,1,0.010096699930727482,FS+Pre+ttl+SE+ema,10,1,1.0
VQE-Full,3,1,0.03624340007081628,FS,10,1,0.9
VQE-Full,3,1,0.32097699999576434,PR,10,0,0.0
VQE-Full,3,1,0.2325870000058785,Full,10,0,0.0
VQE-Full,3,2,0.012367700110189617,FS+Pre+ttl+SE+ema,10,1,1.0
VQE-Full,3,2,0.035713199991732836,FS,10,1,0.9
VQE-Full,3,2,0.37253959994995967,PR,10,0,0.0
VQE-Full,3,2,0.24442880001151934,Full,10,0,0.0
VQE-Full,11,1,0.01744760002475232,FS+Pre+ttl+SE+ema,10,1,1.0
VQE-Full,11,1,0.042311200057156384,FS,10,1,0.9
VQE-Full,11,1,0.4824426000122912,PR,10,0,0.0
VQE-Full,11,1,0.2557043998967856,Full,10,0,0.0
VQE-Full,11,2,0.02368029998615384,FS+Pre+ttl+SE+ema,10,1,1.0
VQE-Full,11,2,0.04791570006636903,FS,10,1,0.9
VQE-Full,11,2,0.6944686999195255,PR,10,0,0.0
VQE-Full,11,2,0.28929750015959144,Full,10,0,0.0
VQE-Full,17,1,0.04612400004407391,FS+Pre+ttl+SE+ema,10,1,1.0
VQE-Full,17,1,0.09971079998649657,FS,10,1,0.9
VQE-Full,17,1,1.1453820001333952,PR,10,0,0.0
VQE-Full,17,1,0.5552240000688471,Full,10,0,0.0
VQE-Full,17,2,0.06653280003229156,FS+Pre+ttl+SE+ema,10,1,1.0
VQE-Full,17,2,0.12237169995205477,FS,10,1,0.9
VQE-Full,17,2,1.4935668999096379,PR,10,0,0.0
VQE-Full,17,2,0.6179891999927349,Full,10,0,0.0
VQE-Full,23,1,0.9445235998718999,FS+Pre+ttl+SE+ema,10,1,1.0
VQE-Full,23,1,0.9931627999758348,FS,10,1,0.9
VQE-Full,23,1,2.117164099938236,PR,10,0,0.0
VQE-Full,23,1,1.4488186999806203,Full,10,0,0.0
VQE-Full,23,2,1.992553000105545,FS+Pre+ttl+SE+ema,10,1,1.0
VQE-Full,23,2,2.028368999948725,FS,10,1,0.9
VQE-Full,23,2,3.442038999986835,PR,10,0,0.0
VQE-Full,23,2,2.47373240016168,Full,10,0,0.0
