method,transT1,transT2,transT3,transT4,transT5
FullComp,1.0670099000,0.1112606999,0.1962275001,0.1135034000,0.2023693000
Braket,0.5851740999,0.0010235000,0.0010419000,0.0010437999,0.0009628000
CCache,0.4955220000,0.0000006000,0.0000006000,0.0000010000,0.0000005000
TransCache,0.0000006000,0.0000017000,0.0000006000,0.0000008000,0.0000009000
