label,index,transT,loadT,bindT,execT
GHZ_q13_d4,1,0.34149630018509924,0,0,0.005836100084707141
QFT_q5_d2,2,0.0659638000652194,0,0,0.0037049998063594103
QFT_q5_d8,3,0.09310830011963844,0,0,0.005056799855083227
Bell_q5_d6,4,0.034450000151991844,0,0,0.0015000998973846436
QSIM_q5_d6,5,0.04445099993608892,0,0,0.004718799842521548
QSIM_q13_d8,6,0.06955070002004504,0,0,0.027465299936011434
QSIM_q15_d6,7,0.04945020005106926,0,0,0.015604200074449182
QFT_q7_d2,8,0.07617660006508231,0,0,0.004225300159305334
LinearEnt_q15_d2,9,0.03917420003563166,0,0,0.005838100099936128
QFT_q15_d6,10,0.15479220007546246,0,0,0.045852999901399016
QSIM_q11_d4,11,0.07324639987200499,0,0,0.010406600078567863
QSIM_q5_d8,12,0.035526399966329336,0,0,0.004565299954265356
QAOA_q15_d2,13,0.03296809992752969,0,0,0.008072499884292483
QFT_q5_d8,14,0.06946969986893237,0,0,0.005998099921271205
QFT_q13_d6,15,0.11453150003217161,0,0,0.015576699981465936
GHZ_q13_d2,16,0.02471929998137057,0,0,0.002101199934259057
QSIM_q15_d6,17,0.04572319984436035,0,0,0.012596399988979101
QAOA_q5_d8,18,0.06744549982249737,0,0,0.00828169984742999
VQE_q13_d8,19,0.03993980004452169,0,0,0.0077223998960107565
GHZ_q11_d6,20,0.024465300142765045,0,0,0.001947399927303195
QAOA_q5_d8,21,0.032246300019323826,0,0,0.004648700123652816
QSIM_q5_d6,22,0.028982700081542134,0,0,0.003989200107753277
LinearEnt_q11_d4,23,0.030863699968904257,0,0,0.0036127001512795687
Bell_q11_d6,24,0.02603579987771809,0,0,0.0014142999425530434
Bell_q5_d6,25,0.02208189992234111,0,0,0.001205099979415536
GHZ_q5_d2,26,0.021469000028446317,0,0,0.0012664999812841415
RCA_q11_d2,27,0.027084900066256523,0,0,0.0021973999682813883
Bell_q13_d4,28,0.021161700133234262,0,0,0.0015020999126136303
QSIM_q15_d6,29,0.045310899848118424,0,0,0.011977999936789274
GHZ_q13_d2,30,0.04786699987016618,0,0,0.004146300023421645
QSIM_q15_d6,31,0.06405339995399117,0,0,0.01288120006211102
QSIM_q15_d4,32,0.07848979998379946,0,0,0.013204499846324325
QFT_q5_d8,33,0.07842869986779988,0,0,0.0033110000658780336
Bell_q15_d4,34,0.023642600048333406,0,0,0.0012323001865297556
Bell_q13_d4,35,0.022064399905502796,0,0,0.0011940000113099813
QFT_q7_d2,36,0.03267799993045628,0,0,0.0023137000389397144
VQE_q13_d8,37,0.031436100136488676,0,0,0.007645899895578623
QSIM_q15_d4,38,0.037562400102615356,0,0,0.00906750001013279
RCA_q7_d2,39,0.04677770007401705,0,0,0.0027058999985456467
GHZ_q11_d6,40,0.046438799938187,0,0,0.002371500013396144
LinearEnt_q5_d4,41,0.027568399906158447,0,0,0.002020200015977025
Bell_q11_d6,42,0.02230819989927113,0,0,0.001188300084322691
QAOA_q5_d8,43,0.03276699990965426,0,0,0.004651600029319525
RCA_q13_d6,44,0.02816680003888905,0,0,0.004888599971309304
QSIM_q5_d6,45,0.028940000105649233,0,0,0.027533400105312467
VQE_q7_d2,46,0.024616400012746453,0,0,0.0017471001483500004
GHZ_q5_d2,47,0.02520969999022782,0,0,0.001389400102198124
LinearEnt_q5_d2,48,0.024776200065389276,0,0,0.0015501000452786684
LinearEnt_q11_d4,49,0.03132690000347793,0,0,0.0037685998249799013
RCA_q11_d2,50,0.025219200178980827,0,0,0.001996499951928854
QSIM_q5_d4,51,0.0277233999222517,0,0,0.002746699843555689
GHZ_q7_d2,52,0.023156899958848953,0,0,0.0014081001281738281
GHZ_q5_d2,53,0.024099400034174323,0,0,0.0013653000351041555
GHZ_q7_d6,54,0.02691350015811622,0,0,0.0017782999202609062
QSIM_q11_d6,55,0.04011699999682605,0,0,0.00940830004401505
QSIM_q7_d8,56,0.03517319983802736,0,0,0.005721700144931674
GHZ_q15_d4,57,0.023843300063163042,0,0,0.0030894000083208084
GHZ_q13_d2,58,0.04824989987537265,0,0,0.004586700117215514
LinearEnt_q7_d2,59,0.04760910011827946,0,0,0.00219290005043149
VQE_q13_d8,60,0.03577899979427457,0,0,0.0076785997953265905
LinearEnt_q11_d4,61,0.0326666000764817,0,0,0.0037386000622063875
RCA_q13_d6,62,0.028005699859932065,0,0,0.004998299991711974
QSIM_q11_d6,63,0.041028400184586644,0,0,0.009441500063985586
QSIM_q7_d8,64,0.036607100162655115,0,0,0.005343900062143803
Bell_q7_d6,65,0.02225949987769127,0,0,0.0012499999720603228
LinearEnt_q5_d2,66,0.02411709981970489,0,0,0.0016533001326024532
RCA_q11_d2,67,0.022964100120589137,0,0,0.0018483002204447985
GHZ_q13_d2,68,0.02275429992005229,0,0,0.002222399925813079
VQE_q15_d8,69,0.031226899940520525,0,0,0.009843300096690655
QSIM_q7_d8,70,0.07240539998747408,0,0,0.010776899987831712
LinearEnt_q11_d4,71,0.03751519997604191,0,0,0.0037642999086529016
GHZ_q11_d6,72,0.023919800063595176,0,0,0.002704399870708585
Bell_q7_d6,73,0.02211709995754063,0,0,0.0012942999601364136
QSIM_q11_d6,74,0.04015889996662736,0,0,0.009169199969619513
LinearEnt_q5_d4,75,0.02686009998433292,0,0,0.002265000017359853
LinearEnt_q11_d4,76,0.030263699823990464,0,0,0.0036863000132143497
VQE_q11_d8,77,0.031449199886992574,0,0,0.004910200135782361
QFT_q13_d6,78,0.1111490000039339,0,0,0.014417799888178706
