label,index,transT,loadT,bindT,execT
GHZ_q13_d4,1,0.030837500002235174,4.00003045797348e-07,0,0.002366200089454651
QFT_q5_d2,2,0.03217300004325807,2.998858690261841e-07,0,0.0017896001227200031
QFT_q5_d8,3,0.031526099890470505,2.998858690261841e-07,0,0.003013600129634142
Bell_q5_d6,4,0.02044739993289113,2.998858690261841e-07,0,0.0013574000913649797
QSIM_q5_d6,5,0.027421100065112114,4.998873919248581e-07,0,0.003566599916666746
QSIM_q13_d8,6,0.04841089993715286,6.998889148235321e-07,0,0.02326890011318028
QSIM_q15_d6,7,0.045565699925646186,4.00003045797348e-07,0,0.01271199993789196
QFT_q7_d2,8,0.06904199998825788,7.00121745467186e-07,0,0.00400319998152554
LinearEnt_q15_d2,9,0.035820200107991695,1.100124791264534e-06,0,0.004550599958747625
QFT_q15_d6,10,0.15860190009698272,1.00000761449337e-06,0,0.022267899941653013
QSIM_q11_d4,11,0.06976410001516342,1.200009137392044e-06,0,0.011047600070014596
QSIM_q5_d8,12,0.03484390000812709,6.998889148235321e-07,0,0.004770200001075864
QAOA_q15_d2,13,0.035808200016617775,7.997732609510422e-07,0,0.00807620002888143
QFT_q5_d8,14,0.0,1.200009137392044e-06,0,0.005819800077006221
QFT_q13_d6,15,0.11802639998495579,6.00004568696022e-07,0,0.014465800020843744
GHZ_q13_d2,16,0.02407769998535514,3.0011869966983795e-07,0,0.0021265000104904175
QSIM_q15_d6,17,0.0,5.00120222568512e-07,0,0.012293299892917275
QAOA_q5_d8,18,0.06692370004020631,8.00006091594696e-07,0,0.00857420009560883
VQE_q13_d8,19,0.037407999858260155,8.00006091594696e-07,0,0.008100700099021196
GHZ_q11_d6,20,0.025477200048044324,4.00003045797348e-07,0,0.0020135000813752413
QAOA_q5_d8,21,0.0,8.00006091594696e-07,0,0.004256000043824315
QSIM_q5_d6,22,0.0,4.998873919248581e-07,0,0.003273200010880828
LinearEnt_q11_d4,23,0.0312308999709785,4.00003045797348e-07,0,0.0036187998484820127
Bell_q11_d6,24,0.0,4.998873919248581e-07,0,0.00118090002797544
Bell_q5_d6,25,0.0,4.00003045797348e-07,0,0.0010441001504659653
GHZ_q5_d2,26,0.021902100183069706,4.00003045797348e-07,0,0.0013452998828142881
RCA_q11_d2,27,0.024023599922657013,3.0011869966983795e-07,0,0.0020866000559180975
Bell_q13_d4,28,0.0,4.00003045797348e-07,0,0.0009656001348048449
QSIM_q15_d6,29,0.0,5.00120222568512e-07,0,0.012061599874868989
GHZ_q13_d2,30,0.0,9.0012326836586e-07,0,0.0031055998988449574
QSIM_q15_d6,31,0.0,1.100124791264534e-06,0,0.020150499884039164
QSIM_q15_d4,32,0.08173190010711551,8.00006091594696e-07,0,0.013097200077027082
QFT_q5_d8,33,0.0,1.400010660290718e-06,0,0.005981100024655461
Bell_q15_d4,34,0.0,1.800013706088066e-06,0,0.0016715999227017164
Bell_q13_d4,35,0.0,8.00006091594696e-07,0,0.001727099996060133
QFT_q7_d2,36,0.0,1.200009137392044e-06,0,0.004011400043964386
VQE_q13_d8,37,0.0,1.800013706088066e-06,0,0.015009900089353323
QSIM_q15_d4,38,0.0,1.200009137392044e-06,0,0.014634600142017007
RCA_q7_d2,39,0.04943680018186569,6.998889148235321e-07,0,0.0028787998016923666
GHZ_q11_d6,40,0.0,8.998904377222061e-07,0,0.0033900998532772064
LinearEnt_q5_d4,41,0.046546699944883585,6.998889148235321e-07,0,0.002171600004658103
Bell_q11_d6,42,0.0,5.00120222568512e-07,0,0.0010897999163717031
QAOA_q5_d8,43,0.0,6.998889148235321e-07,0,0.00452479999512434
RCA_q13_d6,44,0.028864199994131923,4.00003045797348e-07,0,0.005302999867126346
QSIM_q5_d6,45,0.0,7.00121745467186e-07,0,0.0033730000723153353
VQE_q7_d2,46,0.025049999821931124,4.00003045797348e-07,0,0.0019235999789088964
GHZ_q5_d2,47,0.0,6.00004568696022e-07,0,0.0011731998529285192
LinearEnt_q5_d2,48,0.024963099975138903,4.00003045797348e-07,0,0.0019309001509100199
LinearEnt_q11_d4,49,0.0,6.00004568696022e-07,0,0.004052800126373768
RCA_q11_d2,50,0.0,1.200009137392044e-06,0,0.0017130000051110983
QSIM_q5_d4,51,0.07118339999578893,5.00120222568512e-07,0,0.002921300008893013
GHZ_q7_d2,52,0.023038600105792284,4.998873919248581e-07,0,0.0015318000223487616
GHZ_q5_d2,53,0.0,6.00004568696022e-07,0,0.0011593000963330269
GHZ_q7_d6,54,0.02602869994007051,3.0011869966983795e-07,0,0.0017327000387012959
QSIM_q11_d6,55,0.038559299893677235,6.00004568696022e-07,0,0.009204499889165163
QSIM_q7_d8,56,0.035948900040239096,6.00004568696022e-07,0,0.00601189979352057
GHZ_q15_d4,57,0.027047500014305115,4.00003045797348e-07,0,0.0032655000686645508
GHZ_q13_d2,58,0.0,8.998904377222061e-07,0,0.0033183000050485134
LinearEnt_q7_d2,59,0.05339220003224909,6.00004568696022e-07,0,0.0034616999328136444
VQE_q13_d8,60,0.0,1.2998934835195541e-06,0,0.014587300131097436
LinearEnt_q11_d4,61,0.0,8.998904377222061e-07,0,0.006387100089341402
RCA_q13_d6,62,0.0,1.00000761449337e-06,0,0.005666300188750029
QSIM_q11_d6,63,0.0,6.998889148235321e-07,0,0.009633500128984451
QSIM_q7_d8,64,0.0,7.00121745467186e-07,0,0.005603899946436286
Bell_q7_d6,65,0.0,4.998873919248581e-07,0,0.000994300004094839
LinearEnt_q5_d2,66,0.0,6.00004568696022e-07,0,0.0016958999913185835
