label,index,transT,loadT,bindT,execT
GHZ_q13_d4,1,0.025757899973541498,6.00004568696022e-07,0.00017110002227127552,0.002496599918231368
QFT_q5_d2,2,0.028387899976223707,0.0,0.0,0.002066300017759204
QFT_q5_d8,3,0.033179699908941984,0.0,0.0,0.0030782001558691263
Bell_q5_d6,4,0.02163309999741614,0.0,0.0,0.0011479000095278025
QSIM_q5_d6,5,0.029185199877247214,6.00004568696022e-07,0.0006003999151289463,0.0042109000496566296
QSIM_q13_d8,6,0.08589640003629029,6.00004568696022e-07,0.0029233000241219997,0.025331499986350536
QSIM_q15_d6,7,0.04572850000113249,6.00004568696022e-07,0.0019006000366061926,0.013976600021123886
QFT_q7_d2,8,0.06730170012451708,0.0,0.0,0.0038612999487668276
LinearEnt_q15_d2,9,0.03368140012025833,9.0012326836586e-07,0.000443900004029274,0.005286900093778968
QFT_q15_d6,10,0.15913809998892248,0.0,0.0,0.024566700216382742
QSIM_q11_d4,11,0.06985460012219846,1.0998919606208801e-06,0.0019827999640256166,0.008204800076782703
QSIM_q5_d8,12,0.031317299930378795,4.998873919248581e-07,0.0008189999498426914,0.0051904001738876104
QAOA_q15_d2,13,0.0331579998601228,6.00004568696022e-07,0.0008702999912202358,0.008593600010499358
QFT_q5_d8,14,0.06666669994592667,0.0,0.0,0.003902300028130412
QFT_q13_d6,15,0.11575799994170666,0.0,0.0,0.015805199975147843
GHZ_q13_d2,16,0.024550399975851178,4.00003045797348e-07,0.00013100006617605686,0.0021655000746250153
QSIM_q15_d6,17,0.0,6.00004568696022e-07,0.0019769000355154276,0.013876999961212277
QAOA_q5_d8,18,0.06253149989061058,1.600012183189392e-06,0.002183200092986226,0.009370099985972047
VQE_q13_d8,19,0.032389899948611856,0.0,0.0,0.008178000105544925
GHZ_q11_d6,20,0.026915899943560362,6.00004568696022e-07,0.00018540001474320889,0.002185199875384569
QAOA_q5_d8,21,0.0,6.00004568696022e-07,0.0010649000760167837,0.00508960010483861
QSIM_q5_d6,22,0.0,6.00004568696022e-07,0.0006206000689417124,0.004572200123220682
LinearEnt_q11_d4,23,0.0284553999081254,4.00003045797348e-07,0.0005592000670731068,0.004841699963435531
Bell_q11_d6,24,0.021811700193211436,0.0,0.0,0.0012211999855935574
Bell_q5_d6,25,0.024317400064319372,0.0,0.0,0.0011529000476002693
GHZ_q5_d2,26,0.021786700002849102,4.00003045797348e-07,0.00010780012235045433,0.0013869998510926962
RCA_q11_d2,27,0.028768499847501516,0.0,0.0,0.0020559998229146004
Bell_q13_d4,28,0.02282300009392202,0.0,0.0,0.0011602998711168766
QSIM_q15_d6,29,0.0,1.100124791264534e-06,0.001966599840670824,0.014366799965500832
GHZ_q13_d2,30,0.0,9.0012326836586e-07,0.00024140020832419395,0.0037384999450296164
QSIM_q15_d6,31,0.0,1.4998950064182281e-06,0.004082900006324053,0.023283699993044138
QSIM_q15_d4,32,0.06981210014782846,1.4998950064182281e-06,0.0363729998935014,0.010906900046393275
QFT_q5_d8,33,0.06645549996756017,0.0,0.0,0.005292200017720461
Bell_q15_d4,34,0.023982600076124072,0.0,0.0,0.0015597001183778048
Bell_q13_d4,35,0.02522849990054965,0.0,0.0,0.0012264000251889229
QFT_q7_d2,36,0.034666999941691756,0.0,0.0,0.0031147999688982964
VQE_q13_d8,37,0.03103710012510419,0.0,0.0,0.007964599877595901
QSIM_q15_d4,38,0.0,1.400010660290718e-06,0.001337400171905756,0.009915499947965145
RCA_q7_d2,39,0.04727620002813637,0.0,0.0,0.002777199959382415
GHZ_q11_d6,40,0.0,1.00000761449337e-06,0.00032240012660622597,0.003488000016659498
LinearEnt_q5_d4,41,0.0415308999363333,1.00000761449337e-06,0.00031189993023872375,0.0022803000174462795
Bell_q11_d6,42,0.022319299867376685,0.0,0.0,0.0012177000753581524
QAOA_q5_d8,43,0.0,6.998889148235321e-07,0.0010687001049518585,0.00507930014282465
RCA_q13_d6,44,0.027974799973890185,0.0,0.0,0.005087600089609623
QSIM_q5_d6,45,0.0,7.00121745467186e-07,0.0006026001647114754,0.004426900064572692
VQE_q7_d2,46,0.024912600172683597,0.0,0.0,0.001965800067409873
GHZ_q5_d2,47,0.0,6.00004568696022e-07,0.00010529998689889908,0.0012833999935537577
LinearEnt_q5_d2,48,0.024395900079980493,0.0009727999567985535,0.0001908999402076006,0.0016979000065475702
LinearEnt_q11_d4,49,0.0,6.00004568696022e-07,0.0005590000655502081,0.0051213998813182116
RCA_q11_d2,50,0.0241973998490721,0.0,0.0,0.0022025001235306263
QSIM_q5_d4,51,0.02816639980301261,6.00004568696022e-07,0.00042779999785125256,0.0034753000363707542
GHZ_q7_d2,52,0.023334800032898784,4.00003045797348e-07,0.0001121999230235815,0.0015899999998509884
GHZ_q5_d2,53,0.0,4.998873919248581e-07,8.79999715834856e-05,0.0011527000460773706
GHZ_q7_d6,54,0.024317099945619702,9.0012326836586e-07,0.00015740003436803818,0.0016956999897956848
QSIM_q11_d6,55,0.037510599941015244,6.998889148235321e-07,0.001438800012692809,0.011782299960032105
QSIM_q7_d8,56,0.03437740006484091,6.00004568696022e-07,0.0012254000175744295,0.007958599831908941
GHZ_q15_d4,57,0.028483100002631545,6.998889148235321e-07,0.00016850000247359276,0.004209799924865365
GHZ_q13_d2,58,0.0,1.400010660290718e-06,0.0002123001031577587,0.003674000035971403
LinearEnt_q7_d2,59,0.04845250002108514,8.00006091594696e-07,0.00047450000420212746,0.0036347999703139067
VQE_q13_d8,60,0.04436499997973442,0.0,0.0,0.008339500054717064
