step,duration_sec,band
02a_tls_auth,2.383466,client/local
02b_backend_query,0.218373,client/local
03_transpile,1.180876,client/local
04_upload_to_cloud,0.386789,client/local
05_to_09_queue,813.229085,server/utc
server_run,11.938854,server/utc
downlink_return,-0.729300,server/utc
