size,method,e2e_latency_mean,e2e_latency_std,final_cache_size_mean,final_cache_size_std,final_hitrate_mean,final_hitrate_std
200,FS+Pre+ttl+SE+ema,2.63567305993638,0.34755025553863755,62.2,6.723094525588644,0.618,0.03251922508301822
200,FS+ttl+SE+ema,2.993766519980272,0.33734560374387573,62.2,6.723094525588644,0.599,0.03361547262794321
200,FS+Pre,2.3362404200132003,0.3020543011229761,71.0,6.041522986797286,0.6639999999999999,0.029025850547399954
200,FS,2.570724219887052,0.44662895226671606,71.0,6.041522986797286,0.6450000000000001,0.03020761493398646
200,NoCache,6.697062419913709,0.7413780180093803,0.0,0.0,0.0,0.0
250,FS+Pre+ttl+SE+ema,2.98936146000633,0.26899702460193187,63.8,5.167204273105526,0.664,0.020396078054371155
250,FS+ttl+SE+ema,3.1687052399269304,0.30443874482394717,63.8,5.167204273105526,0.6488,0.020668817092422118
250,FS+Pre,2.5263745599600953,0.16940502584001046,77.2,4.54972526643093,0.7064,0.018242806801586176
250,FS,2.646709100075532,0.2606210335666189,77.2,4.54972526643093,0.6912,0.01819890106572369
250,NoCache,8.697370059904642,0.6069647961234184,0.0,0.0,0.0,0.0
400,FS+Pre+ttl+SE+ema,3.7537131399556527,0.2986070201093097,73.8,5.932958789676531,0.73,0.015512092057488557
400,FS+ttl+SE+ema,3.8663911799376365,0.2759602639952653,73.8,5.932958789676531,0.7205,0.014832396974191328
400,FS+Pre,3.164491460158024,0.1578453841732826,95.0,5.612486080160912,0.772,0.01483239697419135
400,FS,3.2755195800273214,0.41909357876539827,95.0,5.612486080160912,0.7625,0.014031215200402288
400,NoCache,13.588705579785165,0.8350129057061366,0.0,0.0,0.0,0.0
500,FS+Pre+ttl+SE+ema,4.258954700134927,0.16221015797787836,78.8,5.263078946776307,0.754,0.010295630140987009
500,FS+ttl+SE+ema,4.357896019931649,0.5025428740132392,78.8,5.263078946776307,0.7464000000000001,0.010526157893552624
500,FS+Pre,3.4025749599735717,0.0835614039213274,102.8,4.919349550499538,0.8020000000000002,0.009695359714832668
500,FS,3.718662819941528,0.3174290698157543,102.8,4.919349550499538,0.7944000000000001,0.009838699100999083
500,NoCache,16.056425540102644,0.9791261986899955,0.0,0.0,0.0,0.0
