step,duration_sec,band
02a_tls_auth,1.809230,client/local
02b_backend_query,0.212240,client/local
03_transpile,4.963551,client/local
04_upload_to_cloud,1.077260,client/local
05_to_09_queue,1.052924,server/utc
server_run,6.240604,server/utc
downlink_return,-0.183117,server/utc
