circuit,q,d,N,method,e2e_latency,final_cache_size,final_hitrate
QAOA-3reg,11,1,5,TransCache,11.382495100027882,1,1.0
QAOA-3reg,11,1,5,FullComp,11.373702700075228,0,0.0
