size,repeat,method,peak_rss_mb,ru_maxrss_mb,peak_tracemalloc_mb,ok,err
600,0,FS,198.125,,27.396284103393555,True,
600,0,PR,247.48828125,,52.64151096343994,True,
600,0,TransCache,204.38671875,,25.965346336364746,True,
600,1,FS,197.24609375,,27.3350887298584,True,
600,1,PR,251.2578125,,52.79884624481201,True,
600,1,TransCache,208.58203125,,26.01220703125,True,
600,2,FS,197.42578125,,27.334622383117676,True,
600,2,PR,253.30078125,,52.81589984893799,True,
600,2,TransCache,206.69921875,,25.918243408203125,True,
600,3,FS,197.7734375,,27.335664749145508,True,
600,3,PR,251.44921875,,52.78982448577881,True,
600,3,TransCache,216.4609375,,26.179749488830566,True,
600,4,FS,197.125,,27.334813117980957,True,
600,4,PR,256.82421875,,52.79125785827637,True,
600,4,TransCache,213.625,,26.181188583374023,True,
700,0,FS,198.37890625,,27.092199325561523,True,
700,0,PR,256.11328125,,53.70715618133545,True,
700,0,TransCache,211.6484375,,27.404711723327637,True,
700,1,FS,197.9765625,,27.082202911376953,True,
700,1,PR,256.03515625,,53.67879581451416,True,
700,1,TransCache,213.484375,,29.942742347717285,True,
700,2,FS,198.05859375,,27.090988159179688,True,
700,2,PR,254.69140625,,53.690775871276855,True,
700,2,TransCache,211.43359375,,27.364063262939453,True,
700,3,FS,197.62109375,,27.108704566955566,True,
700,3,PR,254.99609375,,54.39542770385742,True,
700,3,TransCache,207.390625,,27.639369010925293,True,
700,4,FS,197.26953125,,27.096942901611328,True,
700,4,PR,254.3515625,,53.69807529449463,True,
700,4,TransCache,210.6171875,,27.346406936645508,True,
