size,method,n,mean,std,median,p25,p75,n_fail
250,FS,5.0,191.84921875,0.8113220126454878,192.171875,191.41015625,192.56640625,0
250,PR,5.0,243.45390625,1.9524458194107142,242.52734375,241.83984375,244.3828125,0
250,TransCache,5.0,197.74140625,2.93533767655284,196.76953125,195.68359375,197.4609375,0
550,FS,5.0,197.196875,0.9038714745903452,196.79296875,196.76953125,198.1953125,0
550,PR,5.0,255.97109375,2.804535815884355,254.67578125,253.71484375,256.6171875,0
550,TransCache,5.0,209.64375,1.6819305517349328,209.58203125,208.22265625,209.828125,0
