circuit,q,d,N,method,transT,execT,e2e_latency,final_cache_size,final_hitrate
GHZ-Chain,3,4,10,TransCache,4.399917088449001e-06,0.014530399930663407,0.014534799847751856,1,1.0
GHZ-Chain,3,4,10,FullComp,0.2171207998180762,0.012467100168578327,0.22958789998665452,0,0.0
GHZ-Chain,11,4,10,TransCache,4.799920134246349e-06,0.018104800023138523,0.01810959994327277,1,1.0
GHZ-Chain,11,4,10,FullComp,0.27626780013088137,0.023067000322043896,0.29933480045292526,0,0.0
GHZ-Chain,17,4,10,TransCache,7.300055585801601e-06,0.04428380017634481,0.044291100231930614,1,1.0
GHZ-Chain,17,4,10,FullComp,0.4822926000924781,0.04763929976616055,0.5299318998586386,0,0.0
GHZ-Chain,23,4,10,TransCache,1.0199961252510548e-05,1.0183262998471037,1.0183364998083562,1,1.0
GHZ-Chain,23,4,10,FullComp,0.5367541001178324,0.8640346002066508,1.4007887003244832,0,0.0
LinearEnt,3,4,10,TransCache,4.600035026669502e-06,0.014017200097441673,0.014021800132468343,1,1.0
LinearEnt,3,4,10,FullComp,0.25551120005548,0.01765149983111769,0.2731626998865977,0,0.0
LinearEnt,11,4,10,TransCache,4.700035788118839e-06,0.03407909988891333,0.03408379992470145,1,1.0
LinearEnt,11,4,10,FullComp,0.3042949001537636,0.038239300018176436,0.34253420017194003,0,0.0
LinearEnt,17,4,10,TransCache,1.1599971912801266e-05,0.12390300002880394,0.12391460000071675,1,1.0
LinearEnt,17,4,10,FullComp,1.1396641999017447,0.1399434000486508,1.2796075999503955,0,0.0
LinearEnt,23,4,10,TransCache,1.1399970389902592e-05,2.834686999907717,2.834698399878107,1,1.0
LinearEnt,23,4,10,FullComp,0.8994446001015604,2.7121720002032816,3.611616600304842,0,0.0
QFT-Like,3,4,10,TransCache,5.200039595365524e-06,0.014230999629944563,0.014236199669539928,1,1.0
QFT-Like,3,4,10,FullComp,0.2585275996243581,0.01679730019532144,0.27532489981967956,0,0.0
QFT-Like,11,4,10,TransCache,6.1998143792152405e-06,0.06267920031677932,0.06268540013115853,1,1.0
QFT-Like,11,4,10,FullComp,0.6289811001624912,0.06322870019357651,0.6922098003560677,0,0.0
QFT-Like,17,4,10,TransCache,1.3699987903237343e-05,0.2693860998842865,0.26939979987218976,1,1.0
QFT-Like,17,4,10,FullComp,1.7028047002386302,0.2439371000509709,1.946741800289601,0,0.0
QFT-Like,23,4,10,TransCache,1.1200085282325745e-05,20.275156499817967,20.27516769990325,1,1.0
QFT-Like,23,4,10,FullComp,3.2673873000312597,20.279048799886368,23.546436099917628,0,0.0
QAOA-3reg,3,4,10,TransCache,5.400041118264198e-06,0.016971700242720544,0.01697710028383881,1,1.0
QAOA-3reg,3,4,10,FullComp,0.24554359982721508,0.0186182000907138,0.2641617999179289,0,0.0
QAOA-3reg,11,4,10,TransCache,4.800036549568176e-06,0.06322189990896732,0.06322669994551688,1,1.0
QAOA-3reg,11,4,10,FullComp,0.3771914999233559,0.06376450008247048,0.44095600000582635,0,0.0
QAOA-3reg,17,4,10,TransCache,8.699949830770493e-06,0.17859010002575815,0.17859879997558892,1,1.0
