method,transT1,transT2,transT3,transT4,transT5
FullComp,1.0279656000,0.0294238001,0.0263893000,0.0756841000,0.0249411000
Braket,0.4820149000,0.0002147000,0.0002615999,0.0001632001,0.0002834001
CCache,0.5263945000,0.0000009000,0.0000008000,0.0000005000,0.0000022000
TransCache,0.0000004000,0.0000008000,0.0000013000,0.0000012000,0.0000008000
