step,duration_sec,band
02a_tls_auth,2.000865,client/local
02b_backend_query,0.240835,client/local
03_transpile,1.267817,client/local
04_upload_to_cloud,0.374219,client/local
05_to_09_queue,1.082044,server/utc
server_run,4.161262,server/utc
downlink_return,-0.837233,server/utc
