size,method,e2e_latency_mean,e2e_latency_std,final_cache_size_mean,final_cache_size_std,final_hitrate_mean,final_hitrate_std
20,FS+Pre+ttl+SE+ema,1.6057700800185557,1.2822596692689878,16.2,0.8366600265340756,0.33999999999999997,0.04183300132670379
20,FS+ttl+SE+ema,1.7386521800246555,1.273028541711089,16.2,0.8366600265340756,0.19,0.041833001326703784
20,FS+Pre,1.6304278800205794,1.5645296485109697,16.2,0.8366600265340756,0.33999999999999997,0.04183300132670379
20,FS,1.568797600007383,1.1238385899240126,16.2,0.8366600265340756,0.19,0.041833001326703784
20,NoCache,2.0506039799947757,1.2726184398899278,0.0,0.0,0.0,0.0
50,FS+Pre+ttl+SE+ema,2.8249848000414204,1.426480755377263,31.0,2.23606797749979,0.368,0.05215361924162119
50,FS+ttl+SE+ema,2.2909040800645015,1.488923249753806,31.0,2.23606797749979,0.3,0.04472135954999579
50,FS+Pre,1.4215342000126838,0.6064270795013079,33.6,2.6076809620810595,0.396,0.06066300355241241
50,FS,1.6610239200002979,0.762575426805827,33.6,2.6076809620810595,0.32799999999999996,0.05215361924162119
50,NoCache,2.4593925999943167,1.2072649588962965,0.0,0.0,0.0,0.0
100,FS+Pre+ttl+SE+ema,2.00957474000752,0.4246861590402663,47.0,2.0,0.48599999999999993,0.020736441353327723
100,FS+ttl+SE+ema,1.888609360024566,0.06866589375646026,47.0,2.0,0.45,0.01999999999999999
100,FS+Pre,2.314427439915016,1.2933099483736201,52.8,2.7748873851023212,0.508,0.025884358211089593
100,FS,2.786875480035087,2.1108729585206296,52.8,2.7748873851023212,0.472,0.027748873851023214
100,NoCache,5.00454143997049,3.872276614563191,0.0,0.0,0.0,0.0
