size,repeat,method,peak_rss_mb,ru_maxrss_mb,peak_tracemalloc_mb,ok,err
450,2,FS,194.71484375,,27.592151641845703,True,
450,2,PR,251.59375,,53.26749897003174,True,
450,3,TransCache,206.08984375,,26.28829860687256,True,
450,3,FS,195.72265625,,27.61077880859375,True,
450,3,PR,252.796875,,53.26010608673096,True,
450,4,TransCache,204.59765625,,26.270861625671387,True,
450,4,FS,195.4921875,,27.610965728759766,True,
450,4,PR,253.59765625,,53.259883880615234,True,
500,0,TransCache,202.97265625,,26.11043071746826,True,
500,0,FS,196.38671875,,27.428234100341797,True,
500,0,PR,253.89453125,,54.36667060852051,True,
500,1,TransCache,206.3984375,,26.120357513427734,True,
500,1,FS,195.421875,,27.422672271728516,True,
500,1,PR,254.19921875,,54.357330322265625,True,
500,2,TransCache,208.2578125,,26.116830825805664,True,
500,2,FS,195.51171875,,27.419758796691895,True,
500,2,PR,257.16015625,,54.174880027770996,True,
500,3,TransCache,207.5390625,,26.110167503356934,True,
500,3,FS,197.60546875,,27.301716804504395,True,
500,3,PR,254.23828125,,54.18298530578613,True,
500,4,TransCache,208.26171875,,25.92784881591797,True,
500,4,FS,196.4375,,27.421354293823242,True,
500,4,PR,255.49609375,,54.35081958770752,True,
