method,transT1,transT2,transT3,transT4,transT5
FullComp,1.3453978000,0.2415102000,0.1047108000,0.1042621000,0.1504221000
Braket,0.7230028000,0.0010222001,0.0010671000,0.0011707000,0.0012105999
CCache,0.5727857001,0.0000008000,0.0000012000,0.0000007000,0.0000005000
TransCache,0.0000006000,0.0000011000,0.0000010000,0.0000006000,0.0000010000
