method,transT1,transT2,transT3,transT4,transT5
FullComp,1.3251623000,0.0620478000,0.1331367000,0.0791494000,0.0642707000
Braket,0.3975061000,0.0006453000,0.0005680000,0.0005963000,0.0005461001
CCache,0.5693126000,0.0000006000,0.0000017999,0.0000012000,0.0000009000
TransCache,0.0000028000,0.0000007999,0.0000006000,0.0000004000,0.0000004000
