circuit_tag,total_base,total_tcache,speedup_total,base_03,tc_02,tc_03,tc_07,tc_sum_020307,speedup_compile
GHZ-Chain\_d1\_allQ,1.605,1.091,1.47,0.968,0.006,0.203,0.241,0.450,2.15
GHZ-Chain\_d4\_allQ,1.718,1.175,1.46,1.067,0.007,0.229,0.239,0.475,2.25
GHZ-Chain\_d8\_allQ,1.898,1.256,1.51,1.213,0.009,0.279,0.257,0.545,2.23
GHZ-Chain\_d16\_allQ,2.001,1.315,1.52,1.301,0.011,0.287,0.274,0.573,2.27
GHZ-Chain\_d25\_allQ,2.131,1.296,1.64,1.435,0.013,0.308,0.255,0.576,2.49
LinearEnt\_d1\_allQ,1.923,1.789,1.07,1.161,0.010,0.239,0.801,1.050,1.11
LinearEnt\_d4\_allQ,3.917,3.339,1.17,2.027,0.026,0.401,0.945,1.372,1.48
LinearEnt\_d8\_allQ,6.636,5.360,1.24,2.930,0.049,0.591,0.915,1.555,1.88
LinearEnt\_d16\_allQ,13.287,10.026,1.33,5.113,0.097,0.882,1.067,2.047,2.50
LinearEnt\_d25\_allQ,19.830,15.962,1.24,7.246,0.150,1.440,0.854,2.445,2.96
QFT-Like\_d1\_allQ,6.714,4.552,1.48,3.801,0.039,0.744,0.770,1.553,2.45
QFT-Like\_d4\_allQ,23.232,16.149,1.44,11.191,0.137,2.330,0.834,3.300,3.39
QFT-Like\_d8\_allQ,46.883,31.172,1.50,20.893,0.222,4.167,0.784,5.173,4.04
QFT-Like\_d16\_allQ,87.659,60.204,1.46,37.415,0.427,7.327,0.937,8.691,4.31
QFT-Like\_d25\_allQ,136.492,96.195,1.42,56.642,0.687,11.532,1.005,13.224,4.28
RCA\_d1\_allQ,1.621,0.942,1.72,1.024,0.007,0.203,0.122,0.332,3.08
RCA\_d4\_allQ,3.565,2.698,1.32,1.705,0.020,0.360,0.393,0.773,2.20
RCA\_d8\_allQ,5.747,4.110,1.40,2.444,0.034,0.483,0.097,0.614,3.98
RCA\_d16\_allQ,10.421,7.831,1.33,3.873,0.061,0.681,0.106,0.847,4.57
RCA\_d25\_allQ,14.631,11.100,1.32,5.076,0.094,1.094,0.108,1.296,3.92
QSIM-XXZ\_d1\_allQ,1.977,1.152,1.72,1.350,0.022,0.300,0.295,0.617,2.19
QSIM-XXZ\_d4\_allQ,4.303,2.253,1.91,2.963,0.059,0.560,0.323,0.942,3.14
QSIM-XXZ\_d8\_allQ,7.476,3.968,1.88,5.261,0.117,0.895,0.466,1.477,3.56
QSIM-XXZ\_d16\_allQ,13.079,6.803,1.92,8.569,0.221,1.616,0.481,2.317,3.70
QSIM-XXZ\_d25\_allQ,20.545,10.238,2.01,13.383,0.348,2.184,0.637,3.169,4.22
QAOA-3reg\_d1\_allQ,2.901,2.006,1.45,1.531,0.018,0.315,0.479,0.811,1.89
QAOA-3reg\_d4\_allQ,6.955,5.002,1.39,3.088,0.058,0.634,0.378,1.070,2.89
QAOA-3reg\_d8\_allQ,13.755,9.202,1.49,5.389,0.111,0.996,0.521,1.629,3.31
QAOA-3reg\_d16\_allQ,26.480,18.667,1.42,9.836,0.222,2.241,0.506,2.969,3.31
QAOA-3reg\_d25\_allQ,39.641,29.239,1.36,14.365,0.351,2.788,0.429,3.568,4.03
VQE-Full\_d1\_allQ,2.064,2.391,-,1.338,0.189,0.245,1.212,1.646,-
VQE-Full\_d4\_allQ,4.739,4.321,1.10,1.866,0.024,0.385,1.253,1.662,1.12
VQE-Full\_d8\_allQ,7.351,6.650,1.11,2.618,0.044,0.566,1.260,1.870,1.40
VQE-Full\_d16\_allQ,13.686,11.622,1.18,4.505,0.084,0.905,1.313,2.302,1.96
VQE-Full\_d25\_allQ,21.914,18.913,1.16,6.627,0.130,1.264,1.348,2.742,2.42
