circuit_tag,total_base,total_tcache,speedup_total,base_03,tc_02,tc_03,tc_07,tc_sum_020307,speedup_compile
QAOA-3reg\_q3\_d1,0.339,0.033,10.35,0.160,0.001,0.022,0.000,0.023,6.98
QAOA-3reg\_q3\_d4,0.146,0.041,3.57,0.132,0.001,0.027,0.000,0.028,4.64
QAOA-3reg\_q3\_d8,0.180,0.052,3.44,0.164,0.002,0.033,0.001,0.036,4.52
QAOA-3reg\_q3\_d16,0.262,0.081,3.24,0.237,0.004,0.050,0.001,0.055,4.28
QAOA-3reg\_q3\_d25,0.381,0.100,3.82,0.348,0.005,0.061,0.001,0.068,5.10
QAOA-3reg\_q7\_d1,0.174,0.050,3.50,0.156,0.001,0.027,0.004,0.033,4.78
QAOA-3reg\_q7\_d4,0.244,0.075,3.24,0.218,0.003,0.044,0.004,0.051,4.29
QAOA-3reg\_q7\_d8,0.368,0.110,3.35,0.324,0.006,0.064,0.005,0.074,4.36
QAOA-3reg\_q7\_d16,0.688,0.277,2.48,0.617,0.012,0.189,0.009,0.210,2.94
QAOA-3reg\_q7\_d25,1.185,0.341,3.48,1.025,0.023,0.211,0.008,0.243,4.22
QAOA-3reg\_q11\_d1,0.182,0.073,2.50,0.155,0.002,0.032,0.012,0.046,3.38
QAOA-3reg\_q11\_d4,0.333,0.115,2.88,0.286,0.005,0.055,0.013,0.072,3.96
QAOA-3reg\_q11\_d8,0.590,0.180,3.27,0.461,0.009,0.091,0.014,0.113,4.07
QAOA-3reg\_q11\_d16,1.037,0.384,2.70,0.914,0.017,0.167,0.086,0.270,3.39
QAOA-3reg\_q11\_d25,1.496,0.454,3.30,1.261,0.027,0.237,0.017,0.281,4.49
QAOA-3reg\_q15\_d1,0.287,0.202,1.42,0.218,0.003,0.047,0.103,0.153,1.42
QAOA-3reg\_q15\_d4,0.536,0.221,2.42,0.447,0.009,0.096,0.024,0.129,3.47
QAOA-3reg\_q15\_d8,0.884,0.346,2.55,0.763,0.017,0.152,0.028,0.198,3.86
QAOA-3reg\_q15\_d16,1.514,0.606,2.50,1.327,0.034,0.231,0.029,0.293,4.52
QAOA-3reg\_q15\_d25,2.186,0.931,2.35,1.897,0.052,0.422,0.035,0.510,3.72
QAOA-3reg\_q19\_d1,0.347,0.198,1.76,0.261,0.004,0.056,0.052,0.112,2.33
QAOA-3reg\_q19\_d4,0.720,0.515,1.40,0.527,0.012,0.116,0.152,0.279,1.89
QAOA-3reg\_q19\_d8,1.536,0.608,2.53,1.072,0.022,0.204,0.048,0.274,3.91
QAOA-3reg\_q19\_d16,2.725,1.241,2.20,2.010,0.044,0.469,0.062,0.575,3.49
QAOA-3reg\_q19\_d25,4.525,1.980,2.28,3.244,0.073,0.612,0.087,0.772,4.20
QAOA-3reg\_q21\_d1,0.451,0.322,1.40,0.272,0.004,0.058,0.074,0.135,2.01
QAOA-3reg\_q21\_d4,1.362,0.750,1.82,0.784,0.013,0.140,0.069,0.222,3.53
QAOA-3reg\_q21\_d8,2.166,1.496,1.45,1.182,0.025,0.213,0.201,0.439,2.69
QAOA-3reg\_q21\_d16,5.215,2.876,1.81,2.181,0.051,0.475,0.067,0.592,3.68
QAOA-3reg\_q21\_d25,6.055,5.952,1.02,3.041,0.079,0.737,0.078,0.894,3.40
QAOA-3reg\_q23\_d1,1.121,1.130,-,0.310,0.005,0.074,0.232,0.310,1.00
QAOA-3reg\_q23\_d4,3.614,3.284,1.10,0.695,0.015,0.158,0.115,0.288,2.41
QAOA-3reg\_q23\_d8,8.031,6.409,1.25,1.424,0.031,0.239,0.224,0.494,2.88
QAOA-3reg\_q23\_d16,15.039,13.202,1.14,2.551,0.061,0.660,0.252,0.973,2.62
QAOA-3reg\_q23\_d25,23.813,19.482,1.22,3.549,0.091,0.506,0.203,0.799,4.44
VQE-Full\_q3\_d1,0.129,0.350,-,0.117,0.181,0.020,0.139,0.340,-
VQE-Full\_q3\_d4,0.125,0.161,-,0.113,0.001,0.023,0.126,0.150,-
VQE-Full\_q3\_d8,0.154,0.169,-,0.140,0.001,0.028,0.128,0.157,-
VQE-Full\_q3\_d16,0.194,0.185,1.05,0.176,0.002,0.037,0.129,0.168,1.05
VQE-Full\_q3\_d25,0.240,0.207,1.16,0.216,0.004,0.048,0.135,0.186,1.16
VQE-Full\_q7\_d1,0.199,0.108,1.84,0.187,0.001,0.020,0.075,0.096,1.95
VQE-Full\_q7\_d4,0.158,0.183,-,0.140,0.001,0.029,0.135,0.166,-
VQE-Full\_q7\_d8,0.208,0.205,1.02,0.187,0.003,0.037,0.142,0.182,1.03
VQE-Full\_q7\_d16,0.306,0.231,1.32,0.274,0.004,0.055,0.142,0.201,1.36
VQE-Full\_q7\_d25,0.438,0.299,1.47,0.397,0.007,0.078,0.174,0.259,1.54
VQE-Full\_q11\_d1,0.135,0.118,1.15,0.118,0.001,0.021,0.079,0.101,1.17
VQE-Full\_q11\_d4,0.201,0.225,-,0.174,0.002,0.034,0.162,0.198,-
VQE-Full\_q11\_d8,0.277,0.283,-,0.241,0.003,0.064,0.178,0.246,-
VQE-Full\_q11\_d16,0.443,0.297,1.49,0.389,0.006,0.077,0.161,0.244,1.59
VQE-Full\_q11\_d25,0.635,0.359,1.77,0.561,0.010,0.113,0.167,0.289,1.94
VQE-Full\_q15\_d1,0.198,0.268,-,0.165,0.001,0.034,0.203,0.238,-
VQE-Full\_q15\_d4,0.343,0.229,1.50,0.283,0.004,0.064,0.101,0.168,1.68
VQE-Full\_q15\_d8,0.479,0.381,1.26,0.394,0.007,0.088,0.199,0.294,1.34
VQE-Full\_q15\_d16,0.964,0.412,2.34,0.819,0.013,0.167,0.094,0.274,2.99
VQE-Full\_q15\_d25,1.380,0.663,2.08,1.071,0.020,0.211,0.242,0.473,2.27
VQE-Full\_q19\_d1,0.304,0.396,-,0.234,0.002,0.044,0.291,0.337,-
VQE-Full\_q19\_d4,0.427,0.347,1.23,0.305,0.005,0.067,0.134,0.205,1.49
VQE-Full\_q19\_d8,0.731,0.445,1.64,0.521,0.009,0.110,0.132,0.251,2.08
VQE-Full\_q19\_d16,1.380,0.794,1.74,1.020,0.016,0.183,0.258,0.457,2.23
VQE-Full\_q19\_d25,1.794,1.105,1.62,1.310,0.026,0.245,0.258,0.529,2.48
VQE-Full\_q21\_d1,0.295,0.506,-,0.185,0.002,0.060,0.307,0.369,-
VQE-Full\_q21\_d4,1.188,0.880,1.35,0.475,0.005,0.082,0.359,0.446,1.06
VQE-Full\_q21\_d8,1.175,0.973,1.21,0.605,0.010,0.126,0.250,0.385,1.57
VQE-Full\_q21\_d16,2.049,1.550,1.32,0.953,0.020,0.206,0.284,0.510,1.87
VQE-Full\_q21\_d25,4.222,2.034,2.08,1.699,0.029,0.316,0.128,0.473,3.59
VQE-Full\_q23\_d1,0.802,0.646,1.24,0.333,0.002,0.046,0.118,0.166,2.01
VQE-Full\_q23\_d4,2.296,2.295,1.00,0.376,0.006,0.086,0.237,0.329,1.14
VQE-Full\_q23\_d8,4.327,4.194,1.03,0.530,0.011,0.113,0.231,0.355,1.49
VQE-Full\_q23\_d16,8.352,8.152,1.02,0.874,0.023,0.180,0.245,0.448,1.95
VQE-Full\_q23\_d25,13.205,14.248,-,1.373,0.034,0.254,0.245,0.534,2.57
