method,transT1,transT2,transT3,transT4,transT5
FullComp,1.0220733000,0.0259479000,0.0249228000,0.0254716000,0.0224979001
Braket,0.4344713000,0.0238731999,0.0265214001,0.0261361001,0.0218373000
CCache,0.3963487000,0.0000006000,0.0000012000,0.0000005000,0.0000020000
TransCache,0.0000005000,0.0000014000,0.0000012000,0.0000010999,0.0000005000
