method,transT1,transT2,transT3,transT4,transT5
FullComp,1.5607264000,0.8048622000,0.7099437000,1.3205427000,1.1207090999
Braket,1.6818376000,0.7631090999,1.6886406000,1.0566454000,1.0743013000
CCache,1.4307827000,0.0000006000,0.0000006999,0.0000005000,0.0000008000
TransCache,0.0000006999,0.0000006000,0.0000017000,0.0000007999,0.0000023000
