step,duration_sec,band
02a_tls_auth,1.860101,client/local
02b_backend_query,0.251724,client/local
03_transpile,1.438866,client/local
04_upload_to_cloud,0.432522,client/local
05_to_09_queue,0.916692,server/utc
server_run,3.035631,server/utc
downlink_return,-0.001032,server/utc
